stock_code,transaction_date,left_mode,right_mode,left_dominant_type,right_dominant_type,left_kf_converged,right_kf_converged,same_dominant_type,beta_qr_gap_5d,phi_tail_baseline_4d,phi_tail_diag_5d,phi_tail_delta,theta_tail_baseline_4d,theta_tail_diag_5d,theta_tail_delta,beta_ch_tail_baseline_4d,beta_ch_tail_diag_5d,beta_ch_tail_delta,beta_mix_tail_baseline_4d,beta_mix_tail_diag_5d,beta_mix_tail_delta,beta_q_tail_baseline_4d,beta_q_tail_diag_5d,beta_q_tail_delta,beta_retail_tail_baseline_4d,beta_retail_tail_diag_5d,beta_retail_tail_delta,c_p_tail_baseline_4d,c_p_tail_diag_5d,c_p_tail_delta,c_i_tail_baseline_4d,c_i_tail_diag_5d,c_i_tail_delta,c_d_tail_baseline_4d,c_d_tail_diag_5d,c_d_tail_delta,capital_ch_tail_baseline_4d,capital_ch_tail_diag_5d,capital_ch_tail_delta,capital_q_tail_baseline_4d,capital_q_tail_diag_5d,capital_q_tail_delta,capital_retail_tail_baseline_4d,capital_retail_tail_diag_5d,capital_retail_tail_delta,capital_anchor_error_tail_baseline_4d,capital_anchor_error_tail_diag_5d,capital_anchor_error_tail_delta,noise_ratio_tail_baseline_4d,noise_ratio_tail_diag_5d,noise_ratio_tail_delta,explain_ratio_tail_baseline_4d,explain_ratio_tail_diag_5d,explain_ratio_tail_delta,beta_mix_consistency_gap
000001.SZ,20260707,baseline_4d,diag_5d,量化,量化,False,False,True,-0.005219,-0.018154,-0.018154,-0.0,-0.022332,-0.022332,0.0,-0.001786,-0.001786,0.0,-0.005219,-0.005219,0.0,-0.005219,-0.005219,0.0,0.0,0.0,0.0,0.001492,0.001492,0.0,9.8e-05,9.8e-05,0.0,-6.4e-05,-6.4e-05,0.0,5.9e-05,5.9e-05,0.0,0.001433,0.001433,0.0,0.0,0.0,0.0,0.045283,0.045283,0.0,0.202854,0.202854,-0.0,0.797146,0.797146,0.0,0.0
601398.SH,20260707,baseline_4d,diag_5d,量化,量化,False,False,True,-0.013759,-0.025952,-0.019432,0.00652,0.078091,0.065122,-0.012969,-0.002001,-0.001969,3.2e-05,-0.00427,-0.013759,-0.009489,-0.00427,-0.004342,-7.3e-05,0.0,-0.009417,-0.009417,0.001478,0.001453,-2.5e-05,3.3e-05,2.4e-05,-9e-06,-0.000215,-0.00018,3.6e-05,0.001509,0.001484,-2.4e-05,-3.1e-05,-3.1e-05,-1e-06,-0.0,-0.0,0.0,0.165953,0.165296,-0.000657,0.060664,0.059027,-0.001637,0.939336,0.940973,0.001637,-0.009489
603118.SH,20260707,baseline_4d,diag_5d,游资,游资,False,False,True,-0.004317,-0.133771,-0.172703,-0.038932,-0.069792,-0.062555,0.007236,-0.00077,-0.003542,-0.002772,0.007438,-0.004317,-0.011755,0.007438,0.000724,-0.006713,0.0,-0.005041,-0.005041,0.001906,0.002398,0.000491,4.7e-05,1.9e-05,-2.8e-05,-0.000206,-0.000185,2.1e-05,-2.1e-05,-9.6e-05,-7.5e-05,0.000742,0.000206,-0.000536,0.001185,0.002288,0.001103,0.005682,0.020753,0.015071,0.214969,0.002612,-0.212357,0.785031,0.997388,0.212357,-0.011755
000001.SZ,20260708,baseline_4d,diag_5d,量化,量化,False,False,True,-0.000444,-0.00946,-0.020702,-0.011241,-0.022942,-0.020008,0.002934,-0.001699,-0.00165,4.9e-05,0.002119,-0.000444,-0.002563,0.002119,0.002127,7e-06,0.0,-0.00257,-0.00257,0.000787,0.000783,-4e-06,-4.2e-05,-4.3e-05,-1e-06,-4.3e-05,-3.8e-05,6e-06,0.000211,0.000205,-6e-06,0.000577,0.000579,2e-06,0.0,-0.0,-0.0,0.073796,0.080125,0.006329,0.256787,0.256257,-0.00053,0.743213,0.743743,0.00053,-0.002563
601398.SH,20260708,baseline_4d,diag_5d,量化,量化,False,False,True,-4.3e-05,-0.103722,-0.103722,0.0,-0.117167,-0.117167,-0.0,-0.00102,-0.00102,-0.0,-4.3e-05,-4.3e-05,0.0,-4.3e-05,-4.3e-05,0.0,0.0,0.0,0.0,0.000324,0.000324,0.0,-2.3e-05,-2.3e-05,-0.0,-0.000318,-0.000318,-0.0,0.000293,0.000293,0.0,3.1e-05,3.1e-05,0.0,0.0,0.0,0.0,0.524159,0.524159,0.0,1767.833257,1767.833257,0.0,0.0,0.0,0.0,0.0
603118.SH,20260708,baseline_4d,diag_5d,游资,量化,False,False,False,0.010574,0.977916,1.054424,0.076509,-0.50426,-0.49666,0.0076,0.003546,0.003979,0.000433,0.008008,0.010574,0.002566,0.008008,0.008017,9e-06,0.0,0.002557,0.002557,0.008185,0.008133,-5.2e-05,2.6e-05,4e-05,1.4e-05,-0.0021,-0.002068,3.2e-05,-0.000589,-0.000661,-7.2e-05,0.008774,0.008794,2e-05,0.0,0.0,0.0,0.026165,0.033164,0.007,0.025572,0.026593,0.001021,0.974428,0.973407,-0.001021,0.002566
000001.SZ,20260709,baseline_4d,diag_5d,量化,量化,False,False,True,0.001262,-0.137066,-0.137066,0.0,0.112595,0.112595,0.0,-0.001837,-0.001837,0.0,0.001262,0.001262,-0.0,0.001262,0.001262,-0.0,0.0,0.0,0.0,-1.1e-05,-1.1e-05,0.0,0.000114,0.000114,0.0,-0.000107,-0.000107,-0.0,2.5e-05,2.5e-05,-0.0,-3.6e-05,-3.6e-05,0.0,-0.0,0.0,0.0,0.38799,0.38799,-0.0,440.937769,440.937769,-0.0,0.0,0.0,0.0,-0.0
