trade_date,symbol,window_id,mode_name,q_type,u_source_type,estimator_method,state_space_contract,psi_prediction_semantics,y_observed,y_hat_next,v_q_observed,v_hat_q_next,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,closure_impl_error,model_residual,param_stability_flag,m_eff_rank_eligible,data_leakage_check,m_slow_method,thin_trade_window,cross_symbol_comparable,domain_mapping_valid_flag,warnings
20260710,600030.SH,15,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.001758,0.002031,0.001758,0.002031,0.000692,-0.000086,0.001203,-0.00005,0.00082,-0.000128,-0,-0.000128,4.34e-19,-0.00005,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,16,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.002106,-0.001684,0.002106,-0.001684,0.002258,-0.00014,-0.000087,0.000075,0.000519,0.001739,0,0.001739,4.34e-19,0.000075,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,17,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001751,-0.000575,-0.001751,-0.000575,-0.001669,-0.0001,0.000085,-0.000068,-0.005384,0.003715,0,0.003715,4.34e-19,-0.000068,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,18,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.000351,0.00392,0.000351,0.00392,0.000289,0.000081,-0.000944,0.000926,-0.000091,0.000379,0,0.000379,4.34e-19,0.000926,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,19,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.004911,-0.001557,0.004911,-0.001557,0.002965,0.00044,0.000515,0.000991,0.000591,0.002374,0,0.002374,4.34e-19,0.000991,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,20,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001745,0.001346,-0.001745,0.001346,-0.00285,0.000174,0.001118,-0.000188,-0.026699,0.023849,0,0.023849,4.34e-19,-0.000188,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,21,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.001399,0.003483,0.001399,0.003483,0.00296,0.00002,-0.001634,0.000052,-0.001612,0.004571,0,0.004571,4.34e-19,0.000052,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,22,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.003492,-0.002051,0.003492,-0.002051,0.002776,-0.000065,0.000772,0.000009,-0.005863,0.008639,0,0.008639,4.34e-19,0.000009,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,23,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.002088,-0.00337,-0.002088,-0.00337,-0.002341,-0.000224,0.000514,-0.000037,-0.005403,0.003062,0,0.003062,4.34e-19,-0.000037,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,24,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.003835,0.001331,-0.003835,0.001331,-0.002116,0.000118,-0.001372,-0.000466,0.000227,-0.002343,-0,-0.002343,4.34e-19,-0.000466,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,25,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.0014,-0.000249,0.0014,-0.000249,0.001743,0.000018,-0.00043,0.000069,0.005339,-0.003596,-0,-0.003596,4.34e-19,0.000069,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,26,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.00035,-0.001813,-0.00035,-0.001813,-0.001478,-0.000057,0.001287,-0.000101,-0.002727,0.001249,0,0.001249,4.34e-19,-0.000101,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,27,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001748,-0.001407,-0.001748,-0.001407,-0.001355,-0.000028,-0.00043,0.000065,-0.003345,0.00199,0,0.00199,4.34e-19,0.000065,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,28,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001401,-0.000677,-0.001401,-0.000677,-0.00121,0.000146,-0.000344,0.000006,0.000122,-0.001332,-0,-0.001332,4.34e-19,0.000006,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,29,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.000702,-0.001078,-0.000702,-0.001078,-0.000857,0.000094,0.000085,-0.000025,-0.000215,-0.000581,-0.000061,-0.000642,4.34e-19,-0.000025,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,30,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001053,-0.001396,-0.001053,-0.001396,-0.001283,0.000034,0.000172,0.000025,0.000015,-0.001298,-0,-0.001298,4.34e-19,0.000025,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,31,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001405,-0.002032,-0.001405,-0.002032,-0.001391,0.000081,-0.000086,-0.00001,-0.000155,-0.001161,-0.000075,-0.001236,4.34e-19,-0.00001,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
