stock_code,transaction_date,window_id,deal_amount,signal_deal_buy_amount,signal_deal_sell_amount,signed_large_active_amount,signed_mix_qr_amount,CH_rule_t,Q_rule_t,R_seed_t,large_active_buy_amount,large_active_sell_amount,small_passive_buy_amount,small_passive_sell_amount,unknown_side_amount,window_open_price,window_close_price,window_trade_count,active_inferred_count,side_fallback_count,low_fallback_count,order_age_recovered_count,order_age_missing_count,order_age_direct_count,order_age_fifo_count,order_age_unresolved_count,active_buy_count,active_sell_count,active_buy_amount,active_sell_amount,pi_max_price_impact_pct
600030.SH,20260710,17,54326377.849999994,28441535.5,25884842.35,3085186,954259.1499999999,3085186,309483.8499999996,0,9160581,6075395,20022330.5,19068071.35,0,28.55,28.5,2154,2154,0,0,2148,6,1994,154,6,1234,920,28860523.85,25465854,-0.0017513134851138603
600030.SH,20260710,18,43875866.65,22359044.8,21516821.849999998,-642592.6499999999,1484815.5999999996,-642592.6499999999,1513597.5999999996,0,3645247,4287839.65,18713797.8,17228982.2,0,28.5,28.51,1993,1925,0,0,1993,0,1877,116,0,1148,777,22071166.8,21120275.849999998,0.000350877192982511
600030.SH,20260710,19,101029062.67,74150408.45,26878654.220000003,21908602.1,26860200.129999995,21908602.1,33769495.33,0,29043312.6,7134710.5,45855619.85,18995419.720000003,0,28.51,28.65,4403,4397,0,0,4350,53,4075,275,53,3747,650,78153450.05000001,22578276.62,0.004910557699052859
600030.SH,20260710,20,52915101.67,27482770,25432331.67,1720209.5299999998,3763414.8,1720209.5299999998,7356106.799999999,0,6880373,5160163.470000001,22318990,18555575.2,0,28.65,28.6,4224,4097,0,0,4167,57,3838,329,57,2896,1201,29801639,21707544.67,-0.0017452006980801802
600030.SH,20260710,21,69648248,39037324,30610924,9319762,7964046,9319762,13642292,0,12329289,3009527,31136739,23172693,0,28.6,28.64,4589,4450,0,0,4328,261,3791,537,261,3552,898,45555131,21303586,0.0013986013986013687
600030.SH,20260710,22,91692873.35,68263588,23429285.35,7062611,37771691.65,7062611,37577831.65,0,9278815,2216204,58984773,21213081.35,0,28.65,28.74,3920,3867,0,0,3866,54,3687,179,54,2838,1029,67313692,23457397.35,0.003491620111731769
600030.SH,20260710,23,62830202,29026516,33803686,-360804,-1810622,-360804,-3006726,0,3369242,3730046,26960146,28770768,0,28.73,28.68,3572,3450,0,0,3373,199,3073,300,199,1272,2178,28758295,32734627,-0.002087682672233776
600030.SH,20260710,24,113377232.84,52121948.239999995,61255284.6,-8479789,1320358.6399999992,-8479789,-7092192.62,0,9620783,18100572,43488118.239999995,42167759.599999994,0,28.69,28.57,5344,5043,0,0,5285,59,4768,517,59,2728,2315,46652842.61,62988250.629999995,-0.0038354253835425184
600030.SH,20260710,25,50679237.35,30767111.049999997,19912126.3,4935481,5988095.75,4935481,4301732.35,0,6136370,1200889,24665037.049999997,18676941.3,0,28.58,28.61,2528,2497,0,0,2527,1,2434,93,1,1509,988,29483663.35,20658155,0.001400070003500145
600030.SH,20260710,26,90859324,55055818,35803506,15249553,6112031,15249553,7441699,0,28418880,13169327,27691574,21579543,0,28.61,28.6,4506,4249,0,0,4459,47,4086,373,47,2723,1526,55145976,33299482,-0.0003495281370149602
600030.SH,20260710,27,82598721.5,32560725.75,50037995.75,-677676.5,-12999245.5,-677676.5,-11126827,0,12044987,12722663.5,22415912.75,35415158.25,0,28.6,28.55,4566,4394,0,0,4511,55,4244,267,55,2216,2178,34160035,45948154.5,-0.001748251748251773
600030.SH,20260710,28,72375311.25,32200472.25,40174839,1648366.25,-6881331,1648366.25,-4691017,2854,13300495.25,11652129,20270678,27152009,0,28.53,28.51,4495,4370,0,0,4467,28,4158,309,28,2578,1792,33962917.25,37034207,-0.0014010507880910384
600030.SH,20260710,29,103276515.91999999,36288073.120000005,66988442.8,-378384.5599999996,-25216905.12,-378384.5599999996,-23326283.52,0,14213954.440000001,14592339,24626658.68,49843563.8,0,28.52,28.49,5533,5402,0,0,5533,0,5236,297,0,2636,2766,38976506.92,62646333,-0.0007015082427219616
600030.SH,20260710,30,56333818,19200105,37133713,-2954104,-13862696,-2954104,-15223320,5700,2662435,5616539,17096074,30958770,0,28.49,28.46,4121,4077,0,0,4094,27,3769,325,27,1862,2215,18947104,36916479,-0.0010530010530009682
600030.SH,20260710,31,72461286,29445694.6,43015591.4,-7876228,-5483138.8,-7876228,-8179680,0,1346040,9222268,28204919.6,33688058.4,0,28.46,28.42,4556,4530,0,0,4535,21,4329,206,21,2243,2287,28029204,44127836,-0.00140548137737172
600030.SH,20260710,32,108667011.63,40111977.78,68555033.85,-8567376.27,-22686763.800000004,-8567376.27,-25270618.6,0,12579677.58,21147053.85,26126758.2,48813522,0,28.41,28.36,5146,5070,0,0,5123,23,4555,568,23,1924,3146,36821019.379999995,70604982.25,-0.00211118930330761
600030.SH,20260710,33,64481098.74,35966282.52,28514816.220000003,10862571.750000002,2618586.0699999984,10862571.750000002,6874834.349999999,0,15352246.07,4489674.32,23628882.21,21010296.14,0,28.37,28.43,3597,3434,0,0,3597,0,3210,387,0,2243,1191,40640663.42,21110486.32,0.002468265162200292
600030.SH,20260710,34,48739929.980000004,30259487.14,18480442.84,5646911.4399999995,6978816.540000001,5646911.4399999995,10515083.34,0,7625384.4399999995,1978473,23057444.540000003,16078628,0,28.42,28.43,3032,2953,0,1,3017,15,2743,274,15,1966,987,31734201.38,16089820.6,0
600030.SH,20260710,35,63828226.45,28403712.69,35424513.760000005,1269587.4500000002,-4770186.52,1269587.4500000002,-4023586.5999999996,0,14394240.25,13124652.799999999,15769573.439999998,20539759.96,0,28.43,28.37,2801,2767,0,0,2801,0,2623,178,0,1345,1422,30335269.650000002,32969903.8,-0.0021104467112204968
600030.SH,20260710,36,151519742.38,53866920,97652822.38,-26751828.5,-19067389.88,-26751828.5,-13174437.879999999,5668,17296554.880000003,44048383.379999995,35553707.120000005,54621097,0,28.37,28.31,6159,6065,0,0,6132,27,5690,442,27,3058,3007,53671243,94921842.38,-0.0021149101163201365
600030.SH,20260710,37,76043995.88,41671553.839999996,34372442.04,2907011.079999999,4392100.719999999,2907011.079999999,6677118.140000001,0,10085350.98,7178339.9,31586202.86,27194102.14,0,28.3,28.34,4026,4004,0,0,4026,0,3569,457,0,2419,1585,42678174.55,33062904.33,0.001059696220416854
600030.SH,20260710,38,72670078.14,44951941.14,27718137,7130798.55,11955643.59,7130798.55,17043511.59,0,13357849.55,6227051,32520410.59,20564767,0,28.34,28.31,4317,4250,0,0,4317,0,3995,322,0,2715,1535,47926538.14,24027066,-0.001058574453069906
600030.SH,20260710,39,61092259.32,39332520.96,21759738.36,7776170,8675212.600000001,7776170,18222657.96,0,10928931,3152761,27842889.96,19167677.36,0,28.33,28.4,3375,3298,0,0,3375,0,3036,339,0,2239,1059,43012621.64,16962927.68,0.003179088661250437
600030.SH,20260710,40,38552374.089999996,16432300.05,22120074.04,-1891567.24,-3796206.75,-1891567.24,-3779298.75,0,1158659.8,3050227.04,15273640.25,19069847,0,28.4,28.35,2705,2671,0,0,2705,0,2643,62,0,1484,1187,16350007.05,22043556.04,-0.0017605633802815902
600030.SH,20260710,41,37862289.2,18429875.200000003,19432414,494594,-1497132.7999999998,494594,-4533272.4,0,1611585,1116991,16818290.200000003,18315423,0,28.36,28.33,2852,2838,0,0,2852,0,2650,202,0,1447,1391,16903291.4,20649717.8,-0.000705467372134149
600030.SH,20260710,42,68960231.59,36776589.58,32183642.01,-4895188.039999999,7761451.609999999,-4895188.039999999,6557162.45,0,6895998.25,11791186.29,29017249.330000002,21255797.72,0,28.34,28.33,3853,3772,0,0,3853,0,3653,200,0,2011,1761,34274393,33518758.59,0
600030.SH,20260710,43,58926068.18,40976557.43,17949510.75,10101342.009999998,13676721.57,10101342.009999998,17281887.57,0,11117510.11,1016168.1000000001,30234555.77,16557834.2,0,28.32,28.34,4136,4049,0,0,4136,0,3848,288,0,2781,1268,42151351.879999995,15456909.3,0.00035298270384756666
600030.SH,20260710,44,108699675.10000001,64430363.5,44269311.6,13790364.299999999,13374026,13790364.299999999,21067198,11344,24809423.3,11019059,43122609.4,29748583.400000002,0,28.34,28.34,5924,5634,0,2,5799,125,5313,486,125,4000,1634,69871364.7,35492928.400000006,0
600030.SH,20260710,45,103699359.28,51994625,51704734.28,2757747,-2502216.2800000003,2757747,-3312252.2800000003,0,9976058,7218311,42001387,44503603.28,0,28.34,28.31,6087,6082,0,0,6087,0,5888,199,0,3229,2853,51524249,52118430.28,-0.001058574453069906
600030.SH,20260710,46,162922817.22,93817697.36,69105119.86,1939691.7799999993,17290513.72,1939691.7799999993,24464469.36,0,16485500,14545808.22,74591011.36,57300497.64,0,28.32,28.36,7387,7319,0,0,7306,81,6758,548,81,4725,2594,94192933.18,67794596.03999999,0.0017661603673613817
600030.SH,20260710,47,137319169.6,76633477.19999997,60685692.400000006,26546694.88,7516828.32,26546694.88,38332221.919999994,0,30461961.24,3915266.36,55229385.160000004,47712556.84,0,28.34,28.4,4416,4407,0,0,4387,29,3826,561,29,2962,1445,101013933.19999999,36220126.4,0.0014104372355429884
600067.SH,20260710,0,2772444,1317925,1454519,71151,-210465,71151,-152521,0,89375,18224.000000000004,1227190,1437655,0,2.74,2.7,659,653,0,2,628,31,618,10,31,287,366,1340097,1423371,-0.014598540145985413
600067.SH,20260710,1,3390665,2229460,1161205,591601,476654,591601,-467812,0,597013,5412,1632447,1155793,0,2.69,2.7,452,443,0,0,448,4,414,34,4,259,184,1592255,1571180,0
600067.SH,20260710,2,925764,435455,490309,0,-54854,0,-88042,0,0,0,435455,490309,0,2.71,2.72,235,210,0,0,235,0,231,4,0,89,121,218397,494391,0.007407407407407414
600067.SH,20260710,3,2293171,1110077,1183094,0,-73017,0,-454671,0,0,0,1110077,1183094,0,2.72,2.74,373,372,0,0,369,4,326,43,4,151,221,916520,1373921,0.007352941176470594
600067.SH,20260710,4,818623,270985,547638,0,-276653,0,-277199,0,0,0,270985,547638,0,2.73,2.74,163,163,0,0,131,32,98,33,32,65,98,270712,547911,0
600067.SH,20260710,5,3730805,2555033,1175772,46475,1332786,46475,1073168,0,46475,0,2508558,1175772,0,2.74,2.76,379,359,0,0,372,7,346,26,7,221,138,2417799,1090806,0.007299270072992544
600067.SH,20260710,6,4587736,3366847,1220889,721973,1423985,721973,2687499,0,731909,9936,2634938,1210953,0,2.75,2.77,591,576,0,0,545,46,468,77,46,421,155,3983475,581410,0.003623188405797185
600067.SH,20260710,7,2940474,2159045,781429,-2760,1380376,-2760,-205726,0,0,2760,2159045,778669,0,2.77,2.78,409,402,0,0,384,25,264,120,25,148,254,1343834,1573095,0.0036101083032490204
600067.SH,20260710,8,1406080,419880,986200,-341809,-224511,-341809,-173499,0,0,341809,419880,644391,0,2.79,2.77,291,291,0,0,284,7,276,8,7,108,183,445386,960694,-0.003597122302158197
600067.SH,20260710,9,2206132,1591230,614902,45756,930572,45756,1330892,0,45756,0,1545474,614902,0,2.78,2.78,336,336,0,0,308,28,290,18,28,200,136,1791390,414742,0.0036101083032490204
600067.SH,20260710,10,966458,615066,351392,0,263674,0,135238,0,0,0,615066,351392,0,2.78,2.78,136,123,0,0,130,6,119,11,6,57,66,512484,393092,0
600067.SH,20260710,11,450067,332766,117301,0,215465,0,271065,0,0,0,332766,117301,0,2.78,2.78,132,132,0,0,132,0,118,14,0,105,27,360566,89501,0
600067.SH,20260710,12,1699549,1253567,445982,0,807585,0,765329,0,0,0,1253567,445982,0,2.77,2.77,252,252,0,0,241,11,191,50,11,176,76,1232439,467110,-0.003597122302158197
600067.SH,20260710,13,844989,174593,670396,0,-495803,0,-495803,0,0,0,174593,670396,0,2.77,2.77,161,147,0,0,161,0,161,0,0,10,137,23074,665133,0
600067.SH,20260710,14,2239445,1937815,301630,0,1636185,0,1636185,0,0,0,1937815,301630,0,2.78,2.78,288,288,0,0,288,0,288,0,0,246,42,1937815,301630,0.0036101083032490204
600067.SH,20260710,15,831146,643096,188050,280,454766,280,628862,0,280,0,642816,188050,0,2.78,2.79,187,187,0,0,173,14,173,0,14,155,32,730144,101002,0.003597122302158357
600067.SH,20260710,16,452517,308583,143934,0,164649,0,227145,0,0,0,308583,143934,0,2.79,2.79,136,105,0,0,131,5,125,6,5,74,31,335088,75579,0
600067.SH,20260710,17,1748419,1307621,440798,1400,865423,1400,1562619,0,1400,0,1306221,440798,0,2.79,2.8,230,229,0,0,205,25,197,8,25,190,39,1655379,92200,0.0035842293906809273
600067.SH,20260710,18,667721,355898,311823,562,43513,562,31192.999999999996,0,562,0,355336,311823,0,2.8,2.79,200,173,0,0,200,0,197,3,0,76,97,286738,305383,-0.0035714285714284954
600067.SH,20260710,19,154442,121520,32922,0,88598,0,88598,0,0,0,121520,32922,0,2.8,2.8,62,62,0,0,62,0,62,0,0,50,12,121520,32922,0.0035842293906809273
600067.SH,20260710,20,1232807,1027627,205180,34001,788446,34001,810286,0,34001,0,993626,205180,0,2.79,2.81,221,215,0,0,221,0,201,20,0,139,76,1030147,194260,0.003571428571428654
600067.SH,20260710,21,266679,112119,154560,0,-42441,0,-42441,0,0,0,112119,154560,0,2.81,2.8,108,108,0,0,108,0,108,0,0,68,40,112119,154560,-0.0035587188612100466
600067.SH,20260710,22,1040174,871045,169129,564,701352,564,554670,0,564,0,870481,169129,0,2.8,2.81,280,279,0,0,259,21,252,7,21,198,81,783654,242470,0.003571428571428654
600067.SH,20260710,23,894987,628685,266302,-1680,364063,-1680,350013,0,0,1680,628685,264622,0,2.81,2.8,120,120,0,0,111,9,107,4,9,63,57,621660,273327,-0.0035587188612100466
600067.SH,20260710,24,1607457,266665,1340792,-280,-1073847,-280,-815889,0,0,280,266665,1340512,0,2.81,2.8,337,337,0,0,327,10,304,23,10,156,181,395644,1211813,0
600067.SH,20260710,25,1007129,841790,165339,0,676451,0,-494757,0,0,0,841790,165339,0,2.81,2.82,147,147,0,0,142,5,119,23,5,114,33,256186,750943,0.00714285714285715
600067.SH,20260710,26,1408276,1384621,23655,0,1360966,0,1360966,0,0,0,1384621,23655,0,2.81,2.82,195,195,0,0,195,0,180,15,0,162,33,1384621,23655,0
600067.SH,20260710,27,1023656,768467,255189,0,513278,0,513842,0,0,0,768467,255189,0,2.82,2.81,229,229,0,0,228,1,216,12,1,86,143,768749,254907,-0.0035460992907800663
