stock_code,transaction_date,window_id,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,noise_ratio,explain_ratio,capital_anchor_error,closure_error
605066.SH,20260710,35,-0.000466,-0.000314,0,-0.002325,0,-0.000466,-0,-0.000466,0.748774,0.251226,0,8.67e-19
605066.SH,20260710,36,0.003418,0.000636,-0.002457,-0.00004,0,0.003418,0,0.003418,0.025557,0.974443,0,8.67e-19
605066.SH,20260710,37,-0.002569,-0.000922,0.003685,-0.003304,0,-0.002569,-0,-0.002569,1.062299,0,0,8.67e-19
605066.SH,20260710,38,0.001011,0.000149,-0.003688,0.000968,0,0.001011,0,0.001011,0.620292,0.379708,0,8.67e-19
605066.SH,20260710,39,0.00002,0.001387,0.001225,0.000492,0,0.00002,0,0.00002,0.1576,0.8424,0,8.67e-19
605066.SH,20260710,40,-0.002127,-0.001564,0.003701,-0.000011,-0,-0.002127,-0,-0.002127,1072.149757,0,0,8.67e-19
605066.SH,20260710,41,-0.000464,-0.000005,-0.002468,-0.000178,-0,-0.000464,-0,-0.000464,0.057004,0.942996,0.533194,8.67e-19
605066.SH,20260710,42,0.000917,0.001716,-0.00246,0.00139,0.000587,0.00033,0,0.00033,0.889782,0.110218,0.434636,8.67e-19
605066.SH,20260710,43,-0.002804,-0.00021,0.003695,-0.000681,0.000511,-0.003315,-0,-0.003315,68103.90975,0,0.133613,8.67e-19
605066.SH,20260710,44,-0.000758,-0.000341,-0.001234,-0.000787,-0,-0.000758,-0,-0.000758,0.252367,0.747633,0.01742,8.67e-19
605066.SH,20260710,45,0.002658,0.001414,-0.002464,-0.000043,0.000006,0.002652,0,0.002652,0.02725,0.97275,0.829148,8.67e-19
605066.SH,20260710,46,-0.001241,-0.000928,0.0037,0.000031,-0.000343,-0.000898,-0,-0.000898,0.019713,0.980287,0.276035,8.67e-19
605066.SH,20260710,47,-0.000521,-0.00089,-0.000002,-0.000147,-0,-0.000521,-0,-0.000521,0.09428,0.90572,0.012483,8.67e-19
605155.SH,20260710,0,0,0,-0,-0.006584,0,0,0,0,1,0,0,8.67e-19
605155.SH,20260710,1,0.000725,-0.00251,-0,0.000128,0.017711,-0.016986,-0,-0.016986,0.07729,0.92271,0.189739,8.67e-19
605155.SH,20260710,2,0.00525,0.000261,-0.000479,-0.000053,-0.028098,0.033348,0,0.033348,0.010674,0.989326,0.032526,8.67e-19
605155.SH,20260710,3,0.006678,-0.000618,-0.000645,0.000365,0.00383,0.002848,0,0.002848,0.063227,0.936773,0.573469,8.67e-19
605155.SH,20260710,4,-0.001551,-0.000504,-0.000078,-0.000329,0,-0.001551,-0,-0.001551,0.133646,0.866354,0,8.67e-19
605155.SH,20260710,5,0.005291,0.000128,0.000806,0.000359,0,0.005291,0,0.005291,0.054577,0.945423,0.241576,8.67e-19
605155.SH,20260710,6,0.005832,-0.000603,-0.000885,-0.000255,0.004554,0.001257,0.000021,0.001278,0.062461,0.937539,0.203465,8.67e-19
605155.SH,20260710,7,0.004354,-0.000614,0.000244,0.000088,0.004374,-0.00002,-0,-0.00002,0.021543,0.978457,0.881798,8.67e-19
605155.SH,20260710,8,0.001282,-0.00044,0.000002,-0.000032,-0.001159,0.00244,0,0.00244,0.039165,0.960835,0.321971,8.67e-19
605155.SH,20260710,9,-0.001566,-0.000112,0.000319,-0.000261,0,-0.001566,-0,-0.001566,0.161063,0.838937,0.030176,8.67e-19
605155.SH,20260710,10,0.002913,0.000062,0.000238,0.000033,0.000008,0.002905,0,0.002905,0.010146,0.989854,0.304541,8.67e-19
605155.SH,20260710,11,-0.003153,-0.00037,-0.000477,-0.000045,-0.001623,-0.00153,-0,-0.00153,0.011181,0.988819,0.514705,8.67e-19
605155.SH,20260710,12,-0.001164,0.000459,0.000715,-0.00001,-0,-0.001164,-0,-0.001164,981.823198,0,0,8.67e-19
605155.SH,20260710,13,0.000398,-0.000005,-0.000397,0.000004,-0,0.000398,0,0.000398,378.393153,0,0,8.67e-19
605155.SH,20260710,14,0.000348,0.000002,-0,0.000463,-0,0.000348,0,0.000348,0.569409,0.430591,0,8.67e-19
605155.SH,20260710,15,-0.000773,0.000135,-0.00008,-0.003341,-0,-0.000346,-0.000427,-0.000773,0.823144,0.176856,0.004379,8.67e-19
605155.SH,20260710,16,0.004813,-0.001188,0.000479,0.000786,0.00002,0.004793,0,0.004793,0.160764,0.839236,0.004133,8.67e-19
605155.SH,20260710,17,0.000272,-0.000188,-0.000879,-0.000827,-0,0.000272,0,0.000272,0.510128,0.489872,0,8.67e-19
605155.SH,20260710,18,0.007047,-0.000221,0.000638,0.002284,-0,0.001325,0.005722,0.007047,0.234344,0.765656,0.587334,8.67e-19
605155.SH,20260710,19,0.001974,-0.000016,-0.001103,-0.000856,-0.002513,0.004487,0,0.004487,85577.842489,0,0.108563,8.67e-19
605155.SH,20260710,20,0.000558,-0.000428,0.000934,-0.00026,-0.000185,0.000743,0,0.000743,0.323374,0.676626,0.104912,8.67e-19
605155.SH,20260710,21,0.003686,-0.000225,-0.000077,-0.000168,0.000245,0.003441,0,0.003441,0.052314,0.947686,0.34389,8.67e-19
605155.SH,20260710,22,0.001452,-0.000465,-0.000228,0.000042,-0.000795,0.002095,0.000152,0.002247,0.051906,0.948094,0.261276,8.67e-19
605155.SH,20260710,23,0.000094,-0.000074,0.000226,0.001355,-0,0.000094,0,0.000094,0.846053,0.153947,0.043824,8.67e-19
605155.SH,20260710,24,0.000283,0.000488,-0.000074,0.000103,-0.000003,0.000286,0,0.000286,0.128394,0.871606,0.009509,8.67e-19
605155.SH,20260710,25,-0.000878,-0.000043,0.000074,0.000049,-0,-0.000878,-0,-0.000878,0.06078,0.93922,0,8.67e-19
605155.SH,20260710,26,0.000218,0.000119,0.000146,0.001916,0,0.000218,0,0.000218,0.798979,0.201021,0,8.67e-19
605155.SH,20260710,27,-0.000616,0.000675,-0.000288,-0.000568,0,-0.00002,-0.000596,-0.000616,0.712678,0.287322,0,8.67e-19
605155.SH,20260710,28,0.00311,-0.00019,0.000285,0.001584,0,0.00311,0,0.00311,0.330769,0.669231,0.046761,8.67e-19
605155.SH,20260710,29,0.000077,0.000228,-0.000492,-0.000607,0.000106,-0.00002,-0.000009,-0.000029,0.764471,0.235529,0.702549,8.67e-19
605155.SH,20260710,30,-0.009168,-0.00021,0.000485,0.000149,0.000136,-0.004965,-0.004339,-0.009304,0.017068,0.982932,0.822724,8.67e-19
605155.SH,20260710,31,-0.006464,0.001103,0.000681,-0.000131,-0.007832,0.001368,0,0.001368,0.027251,0.972749,0.843197,8.67e-19
605155.SH,20260710,32,0.002167,0.0005,-0.000333,0.000083,0.000035,0.002132,0,0.002132,0.034528,0.965472,0.068565,8.67e-19
605155.SH,20260710,33,0.000104,-0.000242,-0.000603,-0.000062,-0.00048,0.000427,0.000157,0.000584,0.077509,0.922491,0.124928,8.67e-19
605155.SH,20260710,34,0.000919,0.000063,0.000265,0.000361,0.001995,-0.001075,-0,-0.001075,0.224518,0.775482,0.649726,8.67e-19
605155.SH,20260710,35,-0.004333,-0.000008,-0.000196,-0.001086,-0,-0.004333,-0,-0.004333,0.193161,0.806839,0.195183,8.67e-19
605155.SH,20260710,36,-0.000351,0.000115,0.000577,0.000467,0.002358,-0.00271,-0,-0.00271,0.57827,0.42173,0.465336,8.67e-19
605155.SH,20260710,37,-0.001085,0.000139,-0.000505,-0.000164,-0,-0.001085,-0,-0.001085,0.101324,0.898676,0.459923,8.67e-19
605155.SH,20260710,38,0.001345,0.000107,0.000187,-0.000022,0.000012,0.000588,0.000746,0.001334,0.013527,0.986473,0.008631,8.67e-19
605155.SH,20260710,39,0.000086,-0.000199,-0.000245,0.005201,-0,0.000086,0,0.000086,1.073915,0,0,8.67e-19
605155.SH,20260710,40,-0.003509,0.002036,-0.000243,0.00011,-0,-0.002746,-0.000763,-0.003509,0.068221,0.931779,0,8.67e-19
605155.SH,20260710,41,-0.003707,0.000242,0.000484,-0.001042,-0,-0.003707,-0,-0.003707,0.258949,0.741051,0,8.67e-19
605155.SH,20260710,42,0.001064,-0.000052,0.000181,-0.000385,-0,0.001064,0,0.001064,0.47683,0.52317,0.072329,8.67e-19
605155.SH,20260710,43,-0.001366,-0.000287,-0.000362,-0.000406,-0.000002,-0.001364,-0,-0.001364,0.167864,0.832136,0.001818,8.67e-19
605155.SH,20260710,44,-0.003402,0.000079,0.000242,-0.000155,0,-0.003402,-0,-0.003402,0.047982,0.952018,0.454396,8.67e-19
605155.SH,20260710,45,0.002168,0.000299,0.000061,-0.000093,-0.000328,0.001987,0.000509,0.002496,0.038228,0.961772,0.276307,8.67e-19
605155.SH,20260710,46,-0.001719,-0.00033,-0.000425,0.000045,-0.000227,-0.001491,-0,-0.001491,0.018386,0.981614,0.11795,8.67e-19
605155.SH,20260710,47,0.000166,0.000305,0.000364,-0.000024,-0.000013,0.000179,0,0.000179,0.029732,0.970268,0.066766,8.67e-19
605196.SH,20260710,0,0,0,-0,-0.027415,0,0,0,0,1,0,0,3.47e-18
605196.SH,20260710,1,0.039427,-0.032939,-0,0.000017,0.039282,0.000145,0,0.000145,0.002662,0.997338,0.620495,3.47e-18
605196.SH,20260710,2,-0.005289,0.004573,-0.005289,-0.000026,-0.01318,0.007892,0,0.007892,0.004364,0.995636,0.018055,3.47e-18
605196.SH,20260710,3,0.011292,-0.004246,0.001954,0.000103,0.003921,0.007371,0,0.007371,0.011321,0.988679,0.294514,3.47e-18
605196.SH,20260710,4,0.003693,0.006441,-0.002351,-0.000051,0.006664,-0.002971,-0,-0.002971,0.006596,0.993404,0.169492,3.47e-18
605196.SH,20260710,5,0.003542,0.005403,0.000212,0.000646,0.003479,0.000064,0,0.000064,0.065929,0.934071,0.25669,3.47e-18
605196.SH,20260710,6,0.012369,0.007205,-0.000319,-0.000259,0.018289,-0.00592,-0,-0.00592,0.013659,0.986341,0.215078,3.47e-18
605196.SH,20260710,7,0.000097,0.013203,-0.001409,0.000122,0.015743,-0.008579,-0.007067,-0.015646,0.010152,0.989848,0.481099,3.47e-18
605196.SH,20260710,8,-0.016447,0.008492,0.001065,-0.000068,0.000214,-0.016661,-0,-0.016661,0.009819,0.990181,0.020411,3.47e-18
605196.SH,20260710,9,-0.000041,-0.004917,0.002879,0.000019,-0.000181,0.000139,0,0.000139,0.009164,0.990836,0.164232,3.47e-18
605196.SH,20260710,10,-0.001466,-0.001437,-0.00074,-0.000076,-0.000043,-0.001422,-0,-0.001422,0.020333,0.979667,0.431112,3.47e-18
605196.SH,20260710,11,-0.001549,-0.002646,0.000249,-0.0002,-0.000085,-0.001464,-0,-0.001464,0.04824,0.95176,0.226452,3.47e-18
605196.SH,20260710,12,0.001413,-0.003008,0.000064,0.000282,0.001473,-0.00006,-0,-0.00006,0.225637,0.774363,0.873947,3.47e-18
605196.SH,20260710,13,0.003765,-0.000735,-0.000431,0.001153,-0.000041,0.003806,0,0.003806,0.307232,0.692768,0.117914,3.47e-18
605196.SH,20260710,14,0.006252,0.003207,-0.000742,0.000004,0.000293,0.005959,0,0.005959,0.000449,0.999551,0.827239,3.47e-18
605196.SH,20260710,15,0.002735,0.006117,-0.000737,0.000119,0.001923,0.000812,0,0.000812,0.014392,0.985608,0.18916,3.47e-18
605196.SH,20260710,16,0.002293,0.005832,0.000072,-0.00003,0.001357,0.000936,0,0.000936,0.003641,0.996359,0.147191,3.47e-18
605196.SH,20260710,17,-0.013005,0.00571,0.00001,-0.000005,-0.014269,0.001264,0,0.001264,0.000667,0.999333,0.380375,3.47e-18
605196.SH,20260710,18,0.00486,-0.005112,0.00228,0.000012,0.012245,-0.007385,-0,-0.007385,0.005879,0.994121,0.321659,3.47e-18
605196.SH,20260710,19,0.003701,0.001436,-0.001374,0.000309,-0.001383,0.005084,0,0.005084,0.075982,0.924018,0.52945,3.47e-18
605196.SH,20260710,20,-0.006272,0.003008,-0.000299,-0.000087,-0.008584,0.002312,0,0.002312,0.023781,0.976219,0.137032,3.47e-18
