stock_code,transaction_date,window_id,small_passive_buy_amount,active_inferred_count,order_age_missing_count,order_age_fifo_count,Q_rule_t,active_sell_amount,active_buy_amount,active_sell_count,window_trade_count,signal_deal_sell_amount,small_passive_sell_amount,signal_deal_buy_amount,pi_max_price_impact_pct,R_seed_t,window_close_price,order_age_recovered_count,deal_amount,active_buy_count,signed_mix_qr_amount,large_active_buy_amount,side_fallback_count,window_open_price,order_age_unresolved_count,order_age_direct_count,passive_retail_amount,unknown_side_amount,large_active_sell_amount,passive_quant_amount,signed_large_active_amount,active_non_large_amount,CH_rule_t
000001.SZ,20260709,24,4169605,1381,0,0,170970,4322123,4132676,784,1381,4228148,3810685,4226651,-0.0009478672985783472,0,10.54,1381,8454799,597,358920,57046,0,10.54,0,1381,0,0,417463,0,-360417,170970,-360417
000001.SZ,20260709,25,3966977,897,0,0,78719,3795505,3895326,565,897,3701699,3700646,3989132,-0.0009487666034155396,0,10.53,897,7690831,332,266331,22155,0,10.54,0,897,0,0,1053,0,21102,78719,21102
000001.SZ,20260709,26,1769716,533,0,0,-1217382,2824936,1607554,332,533,2662774,2662774,1769716,0,0,10.53,533,4432490,201,-893058,0,0,10.54,0,533,0,0,0,0,0,-1217382,0
000001.SZ,20260709,27,3267572,989,0,0,-4080074,7032046,2951972,612,989,6716446,6716446,3267572,-0.0009496676163342628,0,10.52,989,9984018,377,-3448874,0,0,10.52,0,989,0,0,0,0,0,-4080074,0
000001.SZ,20260709,28,5352530.359999999,1106,0,0,-4831579,9218910,4414689,726,1106,8250560.640000001,8247410.640000001,5383038.359999999,-0.000950570342205303,0,10.51,1106,13633599,380,-2894880.28,30508,0,10.51,0,1106,0,0,3150,0,27358,-4831579,27358
000001.SZ,20260709,29,1820256.18,696,0,0,-2334242.64,4088471.82,1750890.18,405,696,4019105.82,4015766.82,1820256.18,-0.0009514747859181529,0,10.5,696,5839362,291,-2195510.64,0,0,10.51,0,696,0,0,3339,0,-3339,-2334242.64,-3339
000001.SZ,20260709,30,4536896,1395,0,0,-9957988,12448413,2468396,997,1395,10379913,10357884,4536896,-0.0009523809523809321,0,10.49,1395,14916809,398,-5820988,0,0,10.51,0,1395,0,0,22029,0,-22029,-9957988,-22029
000001.SZ,20260709,31,3882295,1246,0,0,-4246224,8634764,3946284,944,1246,8698753,8256497,3882295,0,0,10.49,1246,12581048,302,-4374202,0,0,10.49,0,1246,0,0,442256,0,-442256,-4246224,-442256
000001.SZ,20260709,32,3821804,1048,0,1,-1212218,5034008,4406668,584,1048,5019322,5004650,4421354,0,0,10.49,1048,9440676,464,-1182846,599550,0,10.5,0,1047,0,0,14672,0,584878,-1212218,584878
000001.SZ,20260709,33,4011000,842,0,0,-94786,4105786,4011000,402,842,4105786,4105786,4011000,0,0,10.49,842,8116786,440,-94786,0,0,10.5,0,842,0,0,0,0,0,-94786,0
000001.SZ,20260709,34,5086151,1268,0,0,-2403168,6838969,5449007,628,1268,6166590,6144561,6121386,0.0009532888465204754,0,10.5,1268,12287976,640,-1058410,1035235,0,10.49,0,1268,0,0,22029,0,1013206,-2403168,1013206
000001.SZ,20260709,35,3645930,1365,0,0,-4768679,12465840,4298066,769,1365,12841040,9165009,3922866,-0.0019047619047618642,0,10.48,1365,16763906,596,-5519079,276936,0,10.49,0,1365,0,0,3676031,0,-3399095,-4768679,-3399095
000001.SZ,20260709,36,5263178,1624,0,0,1508559,4342425,5191821,781,1624,4240647,3551063,5293599,0.0009541984732824223,0,10.49,1624,9534246,843,1712115,30421,0,10.48,0,1624,0,0,689584,0,-659163,1508559,-659163
000001.SZ,20260709,37,4551611,1195,0,0,898,5338512,5339410,552,1195,6126311,6126311,4551611,0,0,10.49,1195,10677922,643,-1574700,0,0,10.48,0,1195,0,0,0,0,0,898,0
000001.SZ,20260709,38,5729723,1984,0,0,-7705219,13658226,7302405,1293,1984,10989206,10431712,9971425,-0.0019065776930409508,0,10.47,1984,20960631,691,-4701989,3074297,0,10.48,0,1984,0,0,1724899,0,1349398,-7705219,1349398
000001.SZ,20260709,39,5872668,1540,0,0,-4000298,12395784,5797346,672,1540,12255486,9592370,5937644,0,0,10.47,1540,18193130,868,-3719702,64976,0,10.47,0,1540,0,0,2663116.0000000005,0,-2598140.0000000005,-4000298,-2598140.0000000005
000001.SZ,20260709,40,8084599,1844,0,5,464647,10854135,8118122,736,1844,8170674,7647174,10801583,0,0,10.47,1844,18972257,1108,437425,19912,0,10.47,0,1839,0,0,3220572,0,-3200660,464647,-3200660
000001.SZ,20260709,41,6928439,1709,0,0,-153754.00000000012,8145928,7352926,710,1709,8096719,6983775,7402135,0,0,10.47,1709,15498854,999,-55336.000000000015,473696,0,10.47,0,1709,0,0,1112944,0,-639248,-153754.00000000012,-639248
000001.SZ,20260709,42,10287270,3065,0,6,4748804,7647911,11772388,1297,3065,8957846,8158336,10462453,0.0019102196752626144,0,10.49,3065,19420299,1768,2128934,175183,0,10.47,0,3059,0,0,799510,0,-624327,4748804,-624327
000001.SZ,20260709,43,6803148,2346,0,4,-531699,8183538,6727620,1436,2379,8392289,7345337,6803148,0.0009532888465204754,0,10.5,2379,15195437,910,-542189,0,0,10.49,0,2375,0,0,1046952,-122733,-1046952,-408966,-1046952
000001.SZ,20260709,44,4311310,1885,0,15,-7519312,12357123,3220350,1478,1885,10367170,9648702,5210303,0,0,10.5,1885,15577473,407,-5337392,0,0,10.49,0,1870,0,0,1617461,0,-1617461,-7519312,-1617461
000001.SZ,20260709,45,7695450,2314,0,0,-2966586,10662036,7695450,1224,2314,10662036,10662036,7695450,0,0,10.5,2314,18357486,1090,-2966586,0,0,10.5,0,2314,0,0,0,0,0,-2966586,0
000001.SZ,20260709,46,11376098,2444,0,15,-117246.71999999997,14036734.72,13908883,1213,2597,16574568.72,15794112.72,12111299,-0.0009523809523809321,0,10.49,2597,28685867.72,1231,-4418014.720000001,735201,0,10.5,0,2582,0,0,780456,-34650,-45255,-82596.71999999997,-45255
000001.SZ,20260709,47,6715484,1695,0,4,-9150230.260000002,12250911.98,2954861,1389,1695,8341046.98,8045984.260000001,6864726,0,0,10.49,1695,15205772.98,306,-1330500.2600000002,149242,0,10.5,0,1691,0,0,295062.72,0,-145820.72,-9150230.260000002,-145820.72
000002.SZ,20260709,0,7758981.37,1474,0,0,-5070368.12,10285158.7,8701892.79,765,1474,10348037.12,7641223.91,8639014.370000001,0.0033557046979866547,0,2.99,1474,18987051.49,709,117757.45999999996,3536974.21,0,2.98,0,1474,0,0,49872,0,3487102.21,-5070368.12,3487102.21
000002.SZ,20260709,1,4781749,1991,0,0,-988754.7,8262049,5280746,814,1991,8628589,6503583.7,4914206,-0.0033444816053512477,0,2.98,1991,13542795,1177,-1721834.7000000002,132457,0,2.99,0,1991,0,0,2125005.3,0,-1992548.3,-988754.7,-1992548.3
000002.SZ,20260709,2,8176805,1113,0,0,5088927,3160833,8291620,483,1113,3233788,3233788,8218665,0.00671140939597316,0,3,1113,11452453,630,4943017,41860,0,2.98,0,1113,0,0,0,0,41860,5088927,41860
000002.SZ,20260709,3,6473465,554,0,4,5465369,1012296,7416795,143,554,1016496,1016496,7412595,0,0,3,554,8429091,411,5456969,939130,0,3,0,550,0,0,0,0,939130,5465369,939130
