stock_code,transaction_date,window_id,deal_amount,signal_deal_buy_amount,signal_deal_sell_amount,signed_large_active_amount,signed_mix_qr_amount,CH_rule_t,Q_rule_t,R_seed_t,large_active_buy_amount,large_active_sell_amount,small_passive_buy_amount,small_passive_sell_amount,unknown_side_amount,window_open_price,window_close_price,window_trade_count,active_inferred_count,side_fallback_count,low_fallback_count,order_age_recovered_count,order_age_missing_count,order_age_direct_count,order_age_fifo_count,order_age_unresolved_count,active_buy_count,active_sell_count,active_buy_amount,active_sell_amount,pi_max_price_impact_pct
000001.SZ,20260709,26,4432490,1769716,2662774,0,-893058,0,-1217382,0,0,0,1769716,2662774,0,10.54,10.53,533,533,0,,533,0,533,0,0,201,332,1607554,2824936,0
000001.SZ,20260709,27,9984018,3267572,6716446,0,-3448874,0,-4080074,0,0,0,3267572,6716446,0,10.52,10.52,989,989,0,,989,0,989,0,0,377,612,2951972,7032046,-0.0009496676163342628
000001.SZ,20260709,28,13633599,5383038.359999999,8250560.640000001,27358,-2894880.28,27358,-4831579,0,30508,3150,5352530.359999999,8247410.640000001,0,10.51,10.51,1106,1106,0,,1106,0,1106,0,0,380,726,4414689,9218910,-0.000950570342205303
000001.SZ,20260709,29,5839362,1820256.18,4019105.82,-3339,-2195510.64,-3339,-2334242.64,0,0,3339,1820256.18,4015766.82,0,10.51,10.5,696,696,0,,696,0,696,0,0,291,405,1750890.18,4088471.82,-0.0009514747859181529
000001.SZ,20260709,30,14916809,4536896,10379913,-22029,-5820988,-22029,-9957988,0,0,22029,4536896,10357884,0,10.51,10.49,1395,1395,0,,1395,0,1395,0,0,398,997,2468396,12448413,-0.0009523809523809321
000001.SZ,20260709,31,12581048,3882295,8698753,-442256,-4374202,-442256,-4246224,0,0,442256,3882295,8256497,0,10.49,10.49,1246,1246,0,,1246,0,1246,0,0,302,944,3946284,8634764,0
000001.SZ,20260709,32,9440676,4421354,5019322,584878,-1182846,584878,-1212218,0,599550,14672,3821804,5004650,0,10.5,10.49,1048,1048,0,,1048,0,1047,1,0,464,584,4406668,5034008,0
000001.SZ,20260709,33,8116786,4011000,4105786,0,-94786,0,-94786,0,0,0,4011000,4105786,0,10.5,10.49,842,842,0,,842,0,842,0,0,440,402,4011000,4105786,0
000001.SZ,20260709,34,12287976,6121386,6166590,1013206,-1058410,1013206,-2403168,0,1035235,22029,5086151,6144561,0,10.49,10.5,1268,1268,0,,1268,0,1268,0,0,640,628,5449007,6838969,0.0009532888465204754
000001.SZ,20260709,35,16763906,3922866,12841040,-3399095,-5519079,-3399095,-4768679,0,276936,3676031,3645930,9165009,0,10.49,10.48,1365,1365,0,,1365,0,1365,0,0,596,769,4298066,12465840,-0.0019047619047618642
000001.SZ,20260709,36,9534246,5293599,4240647,-659163,1712115,-659163,1508559,0,30421,689584,5263178,3551063,0,10.48,10.49,1624,1624,0,,1624,0,1624,0,0,843,781,5191821,4342425,0.0009541984732824223
000001.SZ,20260709,37,10677922,4551611,6126311,0,-1574700,0,898,0,0,0,4551611,6126311,0,10.48,10.49,1195,1195,0,,1195,0,1195,0,0,643,552,5339410,5338512,0
000001.SZ,20260709,38,20960631,9971425,10989206,1349398,-4701989,1349398,-7705219,0,3074297,1724899,5729723,10431712,0,10.48,10.47,1984,1984,0,,1984,0,1984,0,0,691,1293,7302405,13658226,-0.0019065776930409508
