stock_code,transaction_date,mode,kf_converged,dominant_type,dominant_intention,hot_money_ratio,quant_ratio,retail_ratio,phi_tail,theta_tail,beta_ch_tail,beta_mix_tail,beta_q_tail,beta_retail_tail,c_p_tail,c_i_tail,c_d_tail,capital_ch_tail,capital_q_tail,capital_retail_tail,capital_anchor_error_tail,noise_ratio_tail,explain_ratio_tail,capital_identity_error,closure_error,warnings
600706.SH,20260710,baseline_4d,false,unknown,卖出,0.3125,0.666667,0.020833,-0.077983,0.166071,-0.000539,-0.004628,-0.004628,0.0,-0.000713,2.2e-05,-0.000715,-0.000631,-8.1e-05,-0.0,0.712269,0.01602,0.98398,0.00e+00,1.73e-18,KF did not converge
600782.SH,20260710,baseline_4d,false,unknown,买入,0.104167,0.895833,0.0,-0.331349,0.232154,0.002162,-0.017346,-0.017346,0.0,0.003002,-0.000612,0.0009,0.0,0.003002,0.0,0.452782,0.147853,0.852147,0.00e+00,3.47e-18,KF did not converge
600796.SH,20260710,baseline_4d,false,unknown,买入,0.166667,0.791667,0.041667,-0.090611,0.045986,-0.020664,-6e-06,-6e-06,0.0,1e-05,0.000103,-0.000192,-0.0,1e-05,0.0,0.0,7882.061526,0.0,0.00e+00,1.73e-18,KF did not converge
600797.SH,20260710,baseline_4d,false,unknown,卖出,0.145833,0.854167,0.0,0.066692,0.068503,0.00416,0.003313,0.003313,0.0,-0.001105,-5e-06,0.0,0.0,-0.001105,-0.0,0.016769,0.27937,0.72063,0.00e+00,6.07e-18,KF did not converge
600803.SH,20260710,baseline_4d,false,unknown,卖出,0.333333,0.604167,0.0625,-0.438355,0.04465,-0.001453,-0.001628,-0.001628,0.0,-0.001754,0.000575,-8.6e-05,-0.00023,-0.001523,-0.0,0.063581,0.017923,0.982077,0.00e+00,1.73e-18,KF did not converge
600821.SH,20260710,baseline_4d,true,unknown,买入,0.270833,0.729167,0.0,-0.675182,0.347869,0.000852,-3e-06,-3e-06,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,126.000925,0.0,0.00e+00,3.47e-18,
600908.SH,20260710,baseline_4d,false,unknown,卖出,0.083333,0.916667,0.0,-0.526151,0.364312,0.002451,-0.002092,-0.002092,0.0,-0.003338,-0.001913,0.001407,0.0,-0.003338,-0.0,0.011041,0.000585,0.999415,0.00e+00,6.51e-19,KF did not converge
600935.SH,20260710,baseline_4d,false,unknown,买入,0.083333,0.916667,0.0,-0.717569,0.068529,0.004664,0.000473,0.000473,0.0,4.9e-05,-0.000173,-0.000307,0.0,4.9e-05,0.0,0.0,43094.892119,0.0,0.00e+00,8.67e-19,KF did not converge
600960.SH,20260710,baseline_4d,false,unknown,卖出,0.145833,0.854167,0.0,0.011394,-0.169727,0.002534,-0.000142,-0.000142,0.0,-6.9e-05,3.1e-05,1e-06,0.000243,-0.000312,-0.0,0.43813,3692.579156,0.0,0.00e+00,1.73e-18,KF did not converge
600963.SH,20260710,baseline_4d,false,unknown,买入,0.25,0.75,0.0,-0.20565,-0.092429,-0.00238,-0.000222,-0.000222,0.0,0.000115,-0.000131,-0.0,1e-06,0.000114,0.0,0.011047,1655.11227,0.0,0.00e+00,1.73e-18,KF did not converge
600969.SH,20260710,baseline_4d,false,unknown,买入,0.166667,0.8125,0.020833,-0.425577,0.287442,0.000767,0.001747,0.001747,0.0,0.000538,0.000545,-1e-06,0.0,0.000479,5.9e-05,0.0,0.19716,0.80284,0.00e+00,1.73e-18,KF did not converge
601065.SH,20260710,baseline_4d,false,unknown,买入,0.041667,0.916667,0.041667,-0.286395,-0.213389,-0.009665,-0.001852,-0.001852,0.0,0.001015,-0.000436,-0.000628,-0.0,0.001015,0.0,0.0,4939.573462,0.0,0.00e+00,8.67e-19,KF did not converge
601083.SH,20260710,baseline_4d,false,unknown,卖出,0.208333,0.791667,0.0,-0.423451,-0.075956,0.005653,-0.001441,-0.001441,0.0,-0.000871,1.5e-05,-7.4e-05,0.000274,-0.001145,-0.0,0.192965,0.045534,0.954466,0.00e+00,8.67e-19,KF did not converge
601211.SH,20260710,baseline_4d,false,游资,买入,0.5,0.479167,0.020833,-0.243879,-0.153597,-0.000324,0.000393,0.000393,0.0,0.001661,0.000142,-0.000168,0.000973,0.000688,0.0,0.308344,0.004324,0.995676,0.00e+00,3.47e-18,KF did not converge
601218.SH,20260710,baseline_4d,false,unknown,卖出,0.125,0.875,0.0,-0.050522,-0.18295,0.030086,-0.001463,-0.001463,0.0,-0.000983,0.000538,0.000438,0.0,-0.000983,-0.0,0.0,700.123267,0.0,0.00e+00,3.47e-18,KF did not converge
601222.SH,20260710,baseline_4d,false,unknown,卖出,0.083333,0.916667,0.0,-0.686182,0.228089,-0.003637,0.005203,0.005203,0.0,-0.001088,0.00013,0.0,-0.0,-0.001088,-0.0,0.866455,0.478075,0.521925,0.00e+00,1.73e-18,KF did not converge
601636.SH,20260710,baseline_4d,false,unknown,卖出,0.333333,0.645833,0.020833,0.136274,0.057831,0.006075,-0.001139,-0.001139,0.0,-0.003178,0.000176,0.000163,-0.004201,0.001023,0.0,0.73145,0.007713,0.992287,0.00e+00,3.47e-18,KF did not converge
601778.SH,20260710,baseline_4d,false,unknown,买入,0.25,0.75,0.0,-0.63395,0.119323,-0.004218,0.002058,0.002058,0.0,0.000284,-5.7e-05,-0.000606,0.000142,0.000142,0.0,0.498287,37900.153908,0.0,0.00e+00,1.73e-18,KF did not converge
601868.SH,20260710,baseline_4d,false,unknown,买入,0.25,0.75,0.0,-0.587509,0.183266,-0.00302,0.007081,0.007081,0.0,0.000514,-0.002032,0.00144,-0.001759,0.002273,0.0,0.206101,7746.520313,0.0,0.00e+00,1.73e-18,KF did not converge
603008.SH,20260710,baseline_4d,false,unknown,买入,0.25,0.75,0.0,-0.244969,0.06184,0.029605,-0.005825,-0.005825,0.0,0.002419,0.000133,-0.000383,0.006783,-0.004364,-0.0,0.608492,0.121618,0.878382,0.00e+00,1.08e-18,KF did not converge
603011.SH,20260710,baseline_4d,false,游资,卖出,0.604167,0.375,0.020833,-0.175226,0.313802,0.000908,0.002363,0.002363,0.0,-0.001916,-8.8e-05,0.000382,-0.000275,-0.001642,-0.0,0.369232,0.000707,0.999293,0.00e+00,1.73e-18,KF did not converge
603021.SH,20260710,baseline_4d,false,unknown,卖出,0.083333,0.916667,0.0,-0.640121,0.080258,-0.00092,0.001888,0.001888,0.0,-0.00288,5.4e-05,0.0,-0.000818,-0.002063,-0.0,0.283918,0.007854,0.992146,0.00e+00,1.73e-18,KF did not converge
603027.SH,20260710,baseline_4d,false,unknown,卖出,0.25,0.75,0.0,-0.049812,0.0122,0.000621,0.001352,0.001352,0.0,-0.001431,-8e-05,-1.7e-05,-2.4e-05,-0.001407,-0.0,0.085193,0.076061,0.923939,0.00e+00,8.67e-19,KF did not converge
603028.SH,20260710,baseline_4d,false,unknown,卖出,0.166667,0.770833,0.0625,0.896219,-0.35751,0.002656,-0.017755,-0.017755,0.0,-1.6e-05,-0.002978,0.002163,-0.000225,0.000209,0.0,0.17915,0.451485,0.548515,0.00e+00,3.47e-18,KF did not converge
