trade_date,symbol,window_id,mode_name,q_type,u_source_type,estimator_method,state_space_contract,psi_prediction_semantics,y_observed,y_hat_next,v_q_observed,v_hat_q_next,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,closure_impl_error,model_residual,param_stability_flag,m_eff_rank_eligible,data_leakage_check,m_slow_method,thin_trade_window,cross_symbol_comparable,domain_mapping_valid_flag,warnings
20260710,600030.SH,36,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.002115,0.001008,-0.002115,0.001008,-0.001211,7.8e-05,-0.000518,-0.000464,-0.000284,-0.000927,-0.0,-0.000927,4.34e-19,-0.000464,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,37,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.00106,-0.000606,0.00106,-0.000606,0.001103,-9.4e-05,-1e-06,5.2e-05,0.002543,-0.001341,-9.9e-05,-0.00144,4.34e-19,5.2e-05,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,38,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001059,0.00293,-0.001059,0.00293,-0.001341,-4.3e-05,0.000779,-0.000453,-0.000589,-0.000752,-0.0,-0.000752,4.34e-19,-0.000453,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,39,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.003179,-0.001614,0.003179,-0.001614,0.003606,-0.000157,-0.00052,0.000249,-0.000213,0.003819,0.0,0.003819,4.34e-19,0.000249,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,40,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001761,-0.000787,-0.001761,-0.000787,-0.00257,-8.3e-05,0.001039,-0.000146,-0.001261,-0.001309,-0.0,-0.001309,4.34e-19,-0.000146,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,41,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.000705,0.000118,-0.000705,0.000118,0.000382,4.2e-05,-0.001211,8.2e-05,0.000248,0.000134,0.0,0.000134,4.34e-19,8.2e-05,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,42,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.0,0.000272,0.0,0.000272,-0.000227,8.7e-05,0.000259,-0.000118,-3.8e-05,-0.00019,-0.0,-0.00019,4.34e-19,-0.000118,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,43,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.000353,4.8e-05,0.000353,4.8e-05,0.000158,-5.9e-05,0.000173,8.1e-05,4.2e-05,0.000116,0.0,0.000116,4.34e-19,8.1e-05,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,44,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.0,-0.001061,0.0,-0.001061,-5.6e-05,1.8e-05,8.7e-05,-4.8e-05,0.001141,-0.001197,-0.0,-0.001197,4.34e-19,-4.8e-05,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,45,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001059,0.00154,-0.001059,0.00154,-0.00095,-2.4e-05,-8.7e-05,3e-06,0.002962,-0.003581,-0.000331,-0.003912,4.34e-19,3e-06,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,46,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.001766,0.001418,0.001766,0.001418,0.001729,7e-05,-0.00026,0.000226,0.001116,0.000613,0.0,0.000613,4.34e-19,0.000226,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,47,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.00141,0.001418,0.00141,0.001418,0.000728,-2e-06,0.000693,-8e-06,0.000817,-8.9e-05,-0.0,-8.9e-05,4.34e-19,-8e-06,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,0,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.014599,8.2e-05,-0.014599,8.2e-05,-0.0,0.0,0.0,-0.014599,-0.0,-0.0,0.0,-0.0,8.67e-19,-0.014599,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,1,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.0,0.007361,0.0,0.007361,0.003555,-0.003472,0.0,-8.2e-05,-0.006995,0.01055,0.0,0.01055,8.67e-19,-8.2e-05,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,2,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.007407,0.006314,0.007407,0.006314,0.00537,-4.1e-05,0.002033,4.6e-05,-0.030432,0.035801,0.0,0.035801,8.67e-19,4.6e-05,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,3,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.007353,0.000833,0.007353,0.000833,0.007202,-0.00192,0.001032,0.001039,-0.0,0.007202,0.0,0.007202,8.67e-19,0.001039,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,4,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.0,0.006603,0.0,0.006603,0.002253,-0.001413,-7e-06,-0.000833,-0.0,0.002253,0.0,0.002253,8.67e-19,-0.000833,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,5,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.007299,0.003811,0.007299,0.003811,0.008012,-0.000416,-0.000993,0.000696,-0.0,0.008012,0.0,0.008012,8.67e-19,0.000696,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,6,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.003623,0.003493,0.003623,0.003493,0.004414,-0.001576,0.000974,-0.000188,-0.000461,0.004875,0.0,0.004875,8.67e-19,-0.000188,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,7,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.00361,-0.003422,0.00361,-0.003422,0.005028,-0.001051,-0.000484,0.000117,-0.011601,0.016629,0.0,0.016629,8.67e-19,0.000117,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,8,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.003597,0.003582,-0.003597,0.003582,-0.002524,-0.000896,-2e-06,-0.000175,4.1e-05,-0.002565,-0.0,-0.002565,8.67e-19,-0.000175,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,9,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.00361,2.2e-05,0.00361,2.2e-05,0.003641,0.000865,-0.000924,2.9e-05,0.004743,-0.001103,-0.0,-0.001103,8.67e-19,2.9e-05,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
