trade_date,symbol,file_role,file_path,file_exists,file_size,null_byte_ratio,encoding_used,header_valid,raw_row_count,effective_row_count,quality_status,reason_code,action
20260710,603100.SH,order,C:\level-2-ana\data\20260710\20260710\603100.SH\逐笔委托.csv,true,1398115,0.0,gb18030,true,21095,21095,ok,ok,use_raw
20260710,603100.SH,quote,C:\level-2-ana\data\20260710\20260710\603100.SH\行情.csv,true,1624574,0.0,gb18030,true,4347,4347,ok,ok,use_raw
20260710,603113.SH,trade,C:\level-2-ana\data\20260710\20260710\603113.SH\逐笔成交.csv,true,1032764,0.0,gb18030,true,12114,12114,ok,ok,use_raw
20260710,603113.SH,order,C:\level-2-ana\data\20260710\20260710\603113.SH\逐笔委托.csv,true,1271056,0.0,gb18030,true,19704,19704,ok,ok,use_raw
20260710,603113.SH,quote,C:\level-2-ana\data\20260710\20260710\603113.SH\行情.csv,true,1564553,0.0,gb18030,true,4191,4191,ok,ok,use_raw
20260710,603155.SH,trade,C:\level-2-ana\data\20260710\20260710\603155.SH\逐笔成交.csv,true,1447975,0.0,gb18030,true,17464,17464,ok,ok,use_raw
20260710,603155.SH,order,C:\level-2-ana\data\20260710\20260710\603155.SH\逐笔委托.csv,true,1574995,0.0,gb18030,true,25177,25177,ok,ok,use_raw
20260710,603155.SH,quote,C:\level-2-ana\data\20260710\20260710\603155.SH\行情.csv,true,1065288,0.0,gb18030,true,3666,3666,ok,ok,use_raw
20260710,603236.SH,trade,C:\level-2-ana\data\20260710\20260710\603236.SH\逐笔成交.csv,true,3429058,0.0,gb18030,true,39983,39983,ok,ok,use_raw
20260710,603236.SH,order,C:\level-2-ana\data\20260710\20260710\603236.SH\逐笔委托.csv,true,4147583,0.0,gb18030,true,65919,65919,ok,ok,use_raw
20260710,603236.SH,quote,C:\level-2-ana\data\20260710\20260710\603236.SH\行情.csv,true,1537486,0.0,gb18030,true,4695,4695,ok,ok,use_raw
20260710,603315.SH,trade,C:\level-2-ana\data\20260710\20260710\603315.SH\逐笔成交.csv,true,893096,0.0,gb18030,true,10399,10399,ok,ok,use_raw
20260710,603315.SH,order,C:\level-2-ana\data\20260710\20260710\603315.SH\逐笔委托.csv,true,978009,0.0,gb18030,true,14928,14928,ok,ok,use_raw
20260710,603315.SH,quote,C:\level-2-ana\data\20260710\20260710\603315.SH\行情.csv,true,1462567,0.0,gb18030,true,3865,3865,ok,ok,use_raw
20260710,603328.SH,trade,C:\level-2-ana\data\20260710\20260710\603328.SH\逐笔成交.csv,true,1943885,0.0,gb18030,true,22674,22674,ok,ok,use_raw
20260710,603328.SH,order,C:\level-2-ana\data\20260710\20260710\603328.SH\逐笔委托.csv,true,2021922,0.0,gb18030,true,31095,31095,ok,ok,use_raw
20260710,603328.SH,quote,C:\level-2-ana\data\20260710\20260710\603328.SH\行情.csv,true,1931157,0.0,gb18030,true,4946,4946,ok,ok,use_raw
20260710,603435.SH,trade,C:\level-2-ana\data\20260710\20260710\603435.SH\逐笔成交.csv,true,1149040,0.0,gb18030,true,13563,13563,ok,ok,use_raw
20260710,603435.SH,order,C:\level-2-ana\data\20260710\20260710\603435.SH\逐笔委托.csv,true,1678630,0.0,gb18030,true,26180,26180,ok,ok,use_raw
20260710,603435.SH,quote,C:\level-2-ana\data\20260710\20260710\603435.SH\行情.csv,true,1651907,0.0,gb18030,true,4595,4595,ok,ok,use_raw
20260710,603459.SH,trade,C:\level-2-ana\data\20260710\20260710\603459.SH\逐笔成交.csv,true,6379920,0.0,gb18030,true,75131,75131,ok,ok,use_raw
20260710,603459.SH,order,C:\level-2-ana\data\20260710\20260710\603459.SH\逐笔委托.csv,true,8135966,0.0,gb18030,true,126501,126501,ok,ok,use_raw
20260710,603459.SH,quote,C:\level-2-ana\data\20260710\20260710\603459.SH\行情.csv,true,1852334,0.0,gb18030,true,5100,5100,ok,ok,use_raw
20260710,603489.SH,trade,C:\level-2-ana\data\20260710\20260710\603489.SH\逐笔成交.csv,true,683978,0.0,gb18030,true,7981,7981,ok,ok,use_raw
20260710,603489.SH,order,C:\level-2-ana\data\20260710\20260710\603489.SH\逐笔委托.csv,true,1061061,0.0,gb18030,true,16327,16327,ok,ok,use_raw
20260710,603489.SH,quote,C:\level-2-ana\data\20260710\20260710\603489.SH\行情.csv,true,1384099,0.0,gb18030,true,3784,3784,ok,ok,use_raw
