trade_date,symbol,window_id,mode_name,q_type,u_source_type,estimator_method,state_space_contract,psi_prediction_semantics,y_observed,y_hat_next,v_q_observed,v_hat_q_next,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,beta_norm_ch_diag,beta_norm_q_diag,beta_norm_retail_diag,beta_norm_mix_diag,m_eff_ch_diag,m_eff_q_diag,m_eff_retail_diag,m_eff_mix_diag,beta_norm_unit,m_eff_source_type,m_eff_clipped_flag,closure_impl_error,model_residual,param_stability_flag,m_eff_rank_eligible,data_leakage_check,m_slow_method,thin_trade_window,cross_symbol_comparable,domain_mapping_valid_flag,warnings
20260710,600030.SH,10,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001404,-0.001775,-0.001404,-0.001775,-0.001382,0.000107,-0.000086,-0.000043,-0.001777,0.000394,0,0.000394,0.000165,-0.000666,-0,-0.000661,6061.249479,1500.932436,1000000,1511.741341,amount_response,amount_ratio_proxy,true,4.34e-19,-0.000043,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,11,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001758,0.002398,-0.001758,0.002398,-0.001844,0.00007,-0,0.000017,-0.002381,0.00024,0.000296,0.000536,-0.00103,-0.000115,,-0.000257,970.687877,8700.192622,,3892.067,amount_response,amount_ratio_proxy,false,4.34e-19,0.000017,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,12,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.002466,-0.002617,0.002466,-0.002617,0.002361,0.000123,-0.000086,0.000067,-0.000446,0.002807,0,0.002807,-0.000145,0.002079,,0.002079,6874.322696,481.109042,,481.109042,amount_response,amount_ratio_proxy,false,4.34e-19,0.000067,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,13,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.002811,0.00201,-0.002811,0.00201,-0.003519,-0.000128,0.00103,-0.000194,-0.002296,-0.001223,-0,-0.001223,-0.002225,0.00024,,0.00024,449.532741,4160.908079,,4160.908079,amount_response,amount_ratio_proxy,false,4.34e-19,-0.000194,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,14,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.002114,0.001808,0.002114,0.001808,0.003211,0.000087,-0.001288,0.000104,-0.000552,0.003763,0,0.003763,0.000205,-0.001928,,-0.001928,4872.786567,518.735625,,518.735625,amount_response,amount_ratio_proxy,false,4.34e-19,0.000104,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,15,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.001758,0.002031,0.001758,0.002031,0.000692,-0.000086,0.001203,-0.00005,0.00082,-0.000128,-0,-0.000128,0.000116,-0.000072,,-0.000072,8601.637982,13913.478845,,13913.478845,amount_response,amount_ratio_proxy,false,4.34e-19,-0.00005,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,16,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.002106,-0.001684,0.002106,-0.001684,0.002258,-0.00014,-0.000087,0.000075,0.000519,0.001739,0,0.001739,0.000078,0.001078,,0.001078,12740.44292,928.051603,,928.051603,amount_response,amount_ratio_proxy,false,4.34e-19,0.000075,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,17,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001751,-0.000575,-0.001751,-0.000575,-0.001669,-0.0001,0.000085,-0.000068,-0.005384,0.003715,0,0.003715,-0.003326,0.022882,,0.022882,300.638627,43.703362,,43.703362,amount_response,amount_ratio_proxy,false,4.34e-19,-0.000068,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,18,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.000351,0.00392,0.000351,0.00392,0.000289,0.000081,-0.000944,0.000926,-0.000091,0.000379,0,0.000379,0.000217,0.000386,,0.000386,4599.57262,2592.804673,,2592.804673,amount_response,amount_ratio_proxy,false,4.34e-19,0.000926,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,19,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.004911,-0.001557,0.004911,-0.001557,0.002965,0.00044,0.000515,0.000991,0.000591,0.002374,0,0.002374,0.000095,0.000248,,0.000248,10521.08131,4033.596068,,4033.596068,amount_response,amount_ratio_proxy,false,4.34e-19,0.000991,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,20,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001745,0.001346,-0.001745,0.001346,-0.00285,0.000174,0.001118,-0.000188,-0.026699,0.023849,0,0.023849,-0.028716,0.005998,,0.005998,34.823216,166.708697,,166.708697,amount_response,amount_ratio_proxy,false,4.34e-19,-0.000188,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,21,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.001399,0.003483,0.001399,0.003483,0.00296,0.00002,-0.001634,0.000052,-0.001612,0.004571,0,0.004571,-0.000421,0.000815,,0.000815,2377.963155,1227.161029,,1227.161029,amount_response,amount_ratio_proxy,false,4.34e-19,0.000052,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,22,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.003492,-0.002051,0.003492,-0.002051,0.002776,-0.000065,0.000772,0.000009,-0.005863,0.008639,0,0.008639,-0.002648,0.000733,,0.000733,377.596911,1363.439716,,1363.439716,amount_response,amount_ratio_proxy,false,4.34e-19,0.000009,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,23,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.002088,-0.00337,-0.002088,-0.00337,-0.002341,-0.000224,0.000514,-0.000037,-0.005403,0.003062,0,0.003062,0.032806,-0.002231,,-0.002231,30.482281,448.256395,,448.256395,amount_response,amount_ratio_proxy,false,4.34e-19,-0.000037,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,24,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.003835,0.001331,-0.003835,0.001331,-0.002116,0.000118,-0.001372,-0.000466,0.000227,-0.002343,-0,-0.002343,-0.000106,0.001311,,0.001311,9396.914185,762.722347,,762.722347,amount_response,amount_ratio_proxy,false,4.34e-19,-0.000466,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
