stock_code,transaction_date,window_id,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,noise_ratio,explain_ratio,capital_anchor_error,closure_error
600009.SH,20260709,23,0.000532,-0.0002,0.000169,0.000389,0.000237,0.000296,0,0.000295,0.4376003505303131,0.5624,0.226235,4.34e-19
600009.SH,20260709,24,-0.000178,0.00018,-0.000197,-0.00025,0.000019,-0.000197,-0,-0.000197,0.5615683585611065,0.438432,0.489921,4.34e-19
600009.SH,20260709,25,0.001297,-0.000117,0.000084,0.000071,0.000779,0.000037,0.000481,0.000518,0.05309430767126364,0.946906,0.109869,4.34e-19
600009.SH,20260709,26,-0.000948,0.000013,-0.000112,0.000159,-0.00073,-0.000218,-0,-0.00021799999999999999,0.1792489056869933,0.820751,0.130735,4.34e-19
600009.SH,20260709,27,-0.003952,0.000095,0.000141,-0.000285,-0.003351,-0.000601,-0,-0.000601,0.07120090385263629,0.928799,0.794329,4.34e-19
600009.SH,20260709,28,-0.000224,-0.000074,0.000197,0.000102,0.000532,-0.000757,-0,-0.000756,10183.365088703782,0,0.102113,4.34e-19
600009.SH,20260709,29,0.001577,0.000051,-0.000253,-0.000036,0.002872,-0.001294,-0,-0.001295,0.02688832214106728,0.973112,0.217694,4.34e-19
600009.SH,20260709,30,-0.001055,-0.000041,-0.000085,-0.000157,0.000258,-0.001313,-0,-0.001313,0.11716681382683533,0.882833,0.110501,4.34e-19
600009.SH,20260709,31,-0.000204,-0.000056,0.000169,0.00009,0.000597,-0.000801,-0,-0.000801,9041.450924128681,0,0.397702,4.34e-19
600009.SH,20260709,32,-0.001261,0.000045,-0.000084,-0.000039,-0.000037,-0.001224,-0,-0.001224,0.02880590326022752,0.971194,0.536703,4.34e-19
600009.SH,20260709,33,0.000381,0.000004,0.000085,-0.000022,0.002246,-0.001865,-0,-0.0018650000000000001,0.049948785837317794,0.950051,0.435263,4.34e-19
600009.SH,20260709,34,0.001319,-0.000019,-0.000113,0.000153,0.000406,0.000913,0,0.0009130000000000001,0.11435365138085998,0.885646,0.32722,4.34e-19
600009.SH,20260709,35,0.001579,0.000054,-0.000056,0.000208,0.001362,0.000217,0,0.00021700000000000018,0.116780823776801,0.883219,0.47867,4.34e-19
600009.SH,20260709,36,-0.000144,0.000074,-0.000028,0.000099,-0.000946,0.000801,0,0.000802,9859.628433399925,0,0.168676,4.34e-19
600009.SH,20260709,37,-0.001256,0.000049,0.000113,-0.000243,-0.001038,-0.000218,-0,-0.00021799999999999988,0.1814884327040506,0.818512,0.813467,4.34e-19
600009.SH,20260709,38,-0.000705,-0.000098,0.000084,0.000273,0.000016,-0.000721,-0,-0.000721,0.6124287190031105,0.387571,0.769703,4.34e-19
600009.SH,20260709,39,0.000033,0.000144,-0.000056,-0.000121,0.002224,-0.00219,-0,-0.002191,12124.378968901803,0,0.479616,4.34e-19
600009.SH,20260709,40,0.000524,-0.000061,-0.000028,0.000457,-0.000002,0.000526,0,0.0005260000000000001,0.5121676475054091,0.487832,0.105914,4.34e-19
600009.SH,20260709,41,0.000034,0.000213,-0.000056,-0.001529,0.000001,0.000033,0,0.000033,1.142924991200754,0,0.784341,4.34e-19
600009.SH,20260709,42,0.000073,-0.000742,0.000141,0.000081,0.000412,-0.000339,-0,-0.000339,0.1821168122142622,0.817883,0.179587,4.34e-19
600009.SH,20260709,43,0.0001,0.000048,-0.000056,-0.000092,0.000335,-0.000235,-0,-0.00023500000000000002,9227.465616540196,0,0.346124,4.34e-19
600009.SH,20260709,44,0.002646,-0.000046,-0.000028,0.000108,0.002671,-0.000025,-0,-0.000025000000000000282,0.04038223746863338,0.959618,0.27583,4.34e-19
600009.SH,20260709,45,0.00152,0.000008,-0.000169,-0.000022,0.001458,0.000062,0,0.00006199999999999999,0.016707735863981835,0.983292,0.947288,4.34e-19
600009.SH,20260709,46,-0.000934,-0.000034,0.000085,-0.000006,0.000008,-0.000942,-0,-0.000942,0.00722665142839957,0.992773,0.368979,4.34e-19
600009.SH,20260709,47,0.000737,0.000012,0.000141,0.000001,0.000219,0.000517,0,0.000518,0.0013851316028016016,0.998615,0.211003,4.34e-19
600018.SH,20260709,0,-0,0,-0,-0.001976,-0,-0,0,0,1,0,0,4.34e-19
600018.SH,20260709,1,0.000437,-0.000479,-0,0.000042,-0.003,0.003437,0,0.003437,4170.1556407407015,0,0.218361,4.34e-19
600018.SH,20260709,2,0.0005,0.000021,-0.000567,0.000045,-0.001604,0.002104,0,0.002104,4538.984034642727,0,0.241188,4.34e-19
600018.SH,20260709,3,0.005893,0.000023,-0,0.000025,0.005427,0.000467,0,0.0004659999999999994,0.0041427727601004456,0.995857,0.91881,4.34e-19
600018.SH,20260709,4,0.00127,-0.00152,-0.001705,-0.000014,-0.000014,0.000833,0.000451,0.001284,0.007013025189786848,0.992987,0.378973,4.34e-19
600018.SH,20260709,5,0.000423,0.000501,0.002271,0.00075,0.000051,0.000372,0,0.000372,0.19000296527491886,0.809997,0.078757,4.34e-19
