stock_code,transaction_date,window_id,deal_amount,signal_deal_buy_amount,signal_deal_sell_amount,signed_large_active_amount,signed_mix_qr_amount,CH_rule_t,Q_rule_t,R_seed_t,large_active_buy_amount,large_active_sell_amount,small_passive_buy_amount,small_passive_sell_amount,unknown_side_amount,window_open_price,window_close_price,window_trade_count,active_inferred_count,side_fallback_count,low_fallback_count,order_age_recovered_count,order_age_missing_count,order_age_direct_count,order_age_fifo_count,order_age_unresolved_count,active_buy_count,active_sell_count,active_buy_amount,active_sell_amount,pi_max_price_impact_pct
600009.SH,20260709,23,1703521,782351,921170,-15711,-159060,-15711,-127612,0,20241,35952,744134,903194,0,22.47,22.49,150,144,0,0,150,0,135,15,0,72,72,759873,887470,0.0008900756564307777
600009.SH,20260709,24,4201204,2028863,2172341,-367006,214516,-367006,180601,425817,243035,610041,1781322,1566806,0,22.49,22.48,460,445,0,0,444,16,393,51,16,200,245,1774205,1924580,-0.00044464206313908454
600009.SH,20260709,25,3062321,1160490,1901831,175609,-498636,175609,-413160,0,301443,125834,1068204,1566840,0,22.48,22.51,340,332,0,0,322,18,302,20,18,189,143,1358401,1589213,0.0013345195729537872
600009.SH,20260709,26,2930582,1397065,1533517,405242,-276312,405242,-519166,0,641190,235948,888566,1164878,0,22.51,22.49,303,293,0,0,301,2,270,31,2,104,189,1361074,1522253,-0.0008884940026656209
600009.SH,20260709,27,7696552,1205509,6491043,-87335,-5198199,-87335,-3490133,0,87616,174951,1117893,6316092,0,22.48,22.4,651,643,0,0,574,77,518,56,77,257,386,2032606,5614528,-0.004001778568252551
600009.SH,20260709,28,4677663,1104793,3572870,-770497,-1697580,-770497,-1643894,0,62806,833303,1041987,2739567,0,22.4,22.4,481,467,0,0,449,32,372,77,32,194,273,1106974,3516880,0
600009.SH,20260709,29,4449294,1558130,2891164,-324688,-1017310,-324688,-824484,0,564989,889677,988659,2005969,0,22.4,22.43,275,256,0,0,262,13,248,14,13,121,135,1638850,2646798,0.001339285714285765
600009.SH,20260709,30,4664922,1251972,3412950,-320126,-1840852,-320126,-1916954,0,4483,324609,1247489,3088341,0,22.41,22.4,535,532,0,0,528,7,509,19,7,235,297,1175841,3446519,-0.0013374944271066045
600009.SH,20260709,31,3520169,978769,2541400,22400,-1585031,22400,-1679097,0,22400,0,956369,2541400,0,22.41,22.4,302,300,0,0,300,2,282,18,2,109,191,931736,2554832,0
600009.SH,20260709,32,8850942,2455977,6394965,-1565401,-2650851,-1565401,-2718051,0,550061,2115462,1767284,4418135,0,22.39,22.37,679,677,0,0,666,13,654,12,13,255,422,2281508,6564960,-0.0013392857142856065
600009.SH,20260709,33,4087503.29,1124280.46,2963222.83,-82632,-1760788.37,-82632,-1498316.21,0,118706,201338,1003335.46,2764123.83,0,22.38,22.38,396,393,0,0,388,8,292,96,8,186,207,1251038.54,2829749.75,0.0004470272686632995
600009.SH,20260709,34,3212489.3899999997,1532577.3900000001,1679912,-179499.29,108336.67999999996,-179499.29,233812.67999999996,0,248806,428305.29000000004,1321857.3900000001,1213520.71,0,22.37,22.41,388,373,0,0,380,8,351,29,8,218,155,1572886.3900000001,1545492,0.0013404825737265923
600009.SH,20260709,35,2729121,1691189,1037932,143743,496068,143743,522972,0,450881,307138,1233585,737517,0,22.41,22.45,295,280,0,0,293,2,279,14,2,172,108,1664250,1024481,0.001784917447568012
600009.SH,20260709,36,2463094,1340732,1122362,159638,-278012,159638,-147788,0,381893,222255,790467,1068479,0,22.44,22.45,379,363,0,0,378,1,325,53,1,148,215,1174607,1131355,0
600009.SH,20260709,37,3046332,998590.38,2047741.62,-4482,-1044669.24,-4482,-784651.24,0,31406,35888,967184.38,2011853.62,0,22.45,22.42,287,277,0,0,281,6,256,25,6,125,152,1106163.38,1915490.62,-0.0013363028953228323
600009.SH,20260709,38,6220025,3535999.7800000003,2684025.22,-2951211,-1494288.4400000004,-2951211,-1758633.2200000002,0,2242,2953453,885020.78,2379309.22,0,22.43,22.41,404,397,0,0,402,2,368,34,2,110,287,755090.39,5413385.61,-0.0004460303300625139
600009.SH,20260709,39,1794235,890434,903801,4508.999999999999,-17876,4508.999999999999,412834,0,22445,17936,867989,885865,0,22.42,22.41,277,268,0,0,260,17,209,51,17,172,96,1099057,666009,0
600009.SH,20260709,40,1798135,937393,860742,-6719,83370.00000000003,-6719,123750.00000000003,0,8968,15687,928425,845055,0,22.41,22.43,233,230,0,0,219,14,198,21,14,111,119,950851,838308,0.000892458723784006
600009.SH,20260709,41,13599086,5767304,7831782,-2253671,1109767,-2253671,-1151495,0,2324122,4577793,3903469,2793702,0,22.43,22.4,650,642,0,0,643,7,548,95,7,334,308,4304354,8488666,-0.0013374944271066045
600009.SH,20260709,42,8950768,4681944,4268824,-910803,-242677,-910803,-770913,0,6717,917520,3891927,4134604,0,22.39,22.39,881,880,0,0,827,54,768,59,54,449,431,3634526,5314005,-0.0004464285714284826
600009.SH,20260709,43,9940881,6433235,3507646,-1471015,-221204,-1471015,-234838,0,2145959,3616974,1978372,2199576,0,22.38,22.39,532,522,0,0,499,33,427,72,33,290,232,4115272,5785270,0
600009.SH,20260709,44,11094243.42,8124788,2969455.42,2397534,2417664.58,2397534,2166868.58,0,2986122,588588,4968599,2550934.42,0,22.38,22.45,636,623,0,0,614,22,572,42,22,364,259,7784439,3213308.42,0.0026797677534613094
600009.SH,20260709,45,4221721,3244647,977074,11238,2256335,11238,2080989,0,13484,2246,3231163,974828,0,22.45,22.48,550,542,0,0,536,14,475,61,14,313,229,3141245,1055758,0.0013363028953229906
600009.SH,20260709,46,5692065,2058740.3599999999,3633324.64,249700,-1824284.2799999998,249700,-932433,0,296868,47168,1761872.36,3586156.64,0,22.48,22.46,779,770,0,0,765,14,707,58,14,278,492,2504666,3140202,-0.0008896797153024721
600009.SH,20260709,47,4375248,2131650.28,2243597.72,33720,-145667.43999999994,33720,805738,0,33720,0,2097930.28,2243597.72,0,22.46,22.48,602,602,0,0,570,32,501,69,32,327,275,2607353.0000000005,1767895,0.0008904719501335518
