stock_code,transaction_date,window_id,order_age_missing_count,window_close_price,active_inferred_count,small_passive_buy_amount,order_age_fifo_count,active_buy_count,deal_amount,Q_rule_t,small_passive_sell_amount,signal_deal_buy_amount,window_trade_count,R_seed_t,order_age_unresolved_count,large_active_buy_amount,large_active_sell_amount,passive_quant_amount,passive_retail_amount,side_fallback_count,order_age_direct_count,active_buy_amount,pi_max_price_impact_pct,order_age_recovered_count,active_sell_amount,window_open_price,active_sell_count,active_non_large_amount,signed_large_active_amount,CH_rule_t,signed_mix_qr_amount,signal_deal_sell_amount,unknown_side_amount
000001.SZ,20260709,24,0,10.54,1381,4169605,0,597,8454799,170970,3810685,4226651,1381,0,0,57046,417463,0,0,0,1381,4132676,-0.0009478672985783472,1381,4322123,10.54,784,170970,-360417,-360417,358920,4228148,0
000001.SZ,20260709,25,0,10.53,897,3966977,0,332,7690831,78719,3700646,3989132,897,0,0,22155,1053,0,0,0,897,3895326,-0.0009487666034155396,897,3795505,10.54,565,78719,21102,21102,266331,3701699,0
000001.SZ,20260709,26,0,10.53,533,1769716,0,201,4432490,-1217382,2662774,1769716,533,0,0,0,0,0,0,0,533,1607554,0,533,2824936,10.54,332,-1217382,0,0,-893058,2662774,0
000001.SZ,20260709,27,0,10.52,989,3267572,0,377,9984018,-4080074,6716446,3267572,989,0,0,0,0,0,0,0,989,2951972,-0.0009496676163342628,989,7032046,10.52,612,-4080074,0,0,-3448874,6716446,0
000001.SZ,20260709,28,0,10.51,1106,5352530.359999999,0,380,13633599,-4831579,8247410.640000001,5383038.359999999,1106,0,0,30508,3150,0,0,0,1106,4414689,-0.000950570342205303,1106,9218910,10.51,726,-4831579,27358,27358,-2894880.28,8250560.640000001,0
000001.SZ,20260709,29,0,10.5,696,1820256.18,0,291,5839362,-2334242.64,4015766.82,1820256.18,696,0,0,0,3339,0,0,0,696,1750890.18,-0.0009514747859181529,696,4088471.82,10.51,405,-2334242.64,-3339,-3339,-2195510.64,4019105.82,0
000001.SZ,20260709,30,0,10.49,1395,4536896,0,398,14916809,-9957988,10357884,4536896,1395,0,0,0,22029,0,0,0,1395,2468396,-0.0009523809523809321,1395,12448413,10.51,997,-9957988,-22029,-22029,-5820988,10379913,0
000001.SZ,20260709,31,0,10.49,1246,3882295,0,302,12581048,-4246224,8256497,3882295,1246,0,0,0,442256,0,0,0,1246,3946284,0,1246,8634764,10.49,944,-4246224,-442256,-442256,-4374202,8698753,0
000001.SZ,20260709,32,0,10.49,1048,3821804,1,464,9440676,-1212218,5004650,4421354,1048,0,0,599550,14672,0,0,0,1047,4406668,0,1048,5034008,10.5,584,-1212218,584878,584878,-1182846,5019322,0
000001.SZ,20260709,33,0,10.49,842,4011000,0,440,8116786,-94786,4105786,4011000,842,0,0,0,0,0,0,0,842,4011000,0,842,4105786,10.5,402,-94786,0,0,-94786,4105786,0
000001.SZ,20260709,34,0,10.5,1268,5086151,0,640,12287976,-2403168,6144561,6121386,1268,0,0,1035235,22029,0,0,0,1268,5449007,0.0009532888465204754,1268,6838969,10.49,628,-2403168,1013206,1013206,-1058410,6166590,0
000001.SZ,20260709,35,0,10.48,1365,3645930,0,596,16763906,-4768679,9165009,3922866,1365,0,0,276936,3676031,0,0,0,1365,4298066,-0.0019047619047618642,1365,12465840,10.49,769,-4768679,-3399095,-3399095,-5519079,12841040,0
000001.SZ,20260709,36,0,10.49,1624,5263178,0,843,9534246,1508559,3551063,5293599,1624,0,0,30421,689584,0,0,0,1624,5191821,0.0009541984732824223,1624,4342425,10.48,781,1508559,-659163,-659163,1712115,4240647,0
000001.SZ,20260709,37,0,10.49,1195,4551611,0,643,10677922,898,6126311,4551611,1195,0,0,0,0,0,0,0,1195,5339410,0,1195,5338512,10.48,552,898,0,0,-1574700,6126311,0
000001.SZ,20260709,38,0,10.47,1984,5729723,0,691,20960631,-7705219,10431712,9971425,1984,0,0,3074297,1724899,0,0,0,1984,7302405,-0.0019065776930409508,1984,13658226,10.48,1293,-7705219,1349398,1349398,-4701989,10989206,0
000001.SZ,20260709,39,0,10.47,1540,5872668,0,868,18193130,-4000298,9592370,5937644,1540,0,0,64976,2663116.0000000005,0,0,0,1540,5797346,0,1540,12395784,10.47,672,-4000298,-2598140.0000000005,-2598140.0000000005,-3719702,12255486,0
000001.SZ,20260709,40,0,10.47,1844,8084599,5,1108,18972257,464647,7647174,10801583,1844,0,0,19912,3220572,0,0,0,1839,8118122,0,1844,10854135,10.47,736,464647,-3200660,-3200660,437425,8170674,0
000001.SZ,20260709,41,0,10.47,1709,6928439,0,999,15498854,-153754.00000000012,6983775,7402135,1709,0,0,473696,1112944,0,0,0,1709,7352926,0,1709,8145928,10.47,710,-153754.00000000012,-639248,-639248,-55336.000000000015,8096719,0
000001.SZ,20260709,42,0,10.49,3065,10287270,6,1768,19420299,4748804,8158336,10462453,3065,0,0,175183,799510,0,0,0,3059,11772388,0.0019102196752626144,3065,7647911,10.47,1297,4748804,-624327,-624327,2128934,8957846,0
000001.SZ,20260709,43,0,10.5,2346,6803148,4,910,15195437,-531699,7345337,6803148,2379,0,0,0,1046952,-122733,0,0,2375,6727620,0.0009532888465204754,2379,8183538,10.49,1436,-408966,-1046952,-1046952,-542189,8392289,0
000001.SZ,20260709,44,0,10.5,1885,4311310,15,407,15577473,-7519312,9648702,5210303,1885,0,0,0,1617461,0,0,0,1870,3220350,0,1885,12357123,10.49,1478,-7519312,-1617461,-1617461,-5337392,10367170,0
000001.SZ,20260709,45,0,10.5,2314,7695450,0,1090,18357486,-2966586,10662036,7695450,2314,0,0,0,0,0,0,0,2314,7695450,0,2314,10662036,10.5,1224,-2966586,0,0,-2966586,10662036,0
000001.SZ,20260709,46,0,10.49,2444,11376098,15,1231,28685867.72,-117246.71999999997,15794112.72,12111299,2597,0,0,735201,780456,-34650,0,0,2582,13908883,-0.0009523809523809321,2597,14036734.72,10.5,1213,-82596.71999999997,-45255,-45255,-4418014.720000001,16574568.72,0
000001.SZ,20260709,47,0,10.49,1695,6715484,4,306,15205772.98,-9150230.260000002,8045984.260000001,6864726,1695,0,0,149242,295062.72,0,0,0,1691,2954861,0,1695,12250911.98,10.5,1389,-9150230.260000002,-145820.72,-145820.72,-1330500.2600000002,8341046.98,0
000002.SZ,20260709,0,0,2.99,1474,7758981.37,0,709,18987051.49,-5070368.12,7641223.91,8639014.370000001,1474,0,0,3536974.21,49872,0,0,0,1474,8701892.79,0.0033557046979866547,1474,10285158.7,2.98,765,-5070368.12,3487102.21,3487102.21,117757.45999999996,10348037.12,0
000002.SZ,20260709,1,0,2.98,1991,4781749,0,1177,13542795,-988754.7,6503583.7,4914206,1991,0,0,132457,2125005.3,0,0,0,1991,5280746,-0.0033444816053512477,1991,8262049,2.99,814,-988754.7,-1992548.3,-1992548.3,-1721834.7000000002,8628589,0
000002.SZ,20260709,2,0,3,1113,8176805,0,630,11452453,5088927,3233788,8218665,1113,0,0,41860,0,0,0,0,1113,8291620,0.00671140939597316,1113,3160833,2.98,483,5088927,41860,41860,4943017,3233788,0
000002.SZ,20260709,3,0,3,554,6473465,4,411,8429091,5465369,1016496,7412595,554,0,0,939130,0,0,0,0,550,7416795,0,554,1012296,3,143,5465369,939130,939130,5456969,1016496,0
000002.SZ,20260709,4,0,3,1287,2452988,0,206,10669381,-7071405,8216393,2452988,1287,0,0,0,0,0,0,0,1287,1798988,0,1287,8870393,3.01,1081,-7071405,0,0,-5763405,8216393,0
000002.SZ,20260709,5,0,3.01,1359,12703002,0,745,15324164,4200010,2521502,12802662,1359,0,0,99660,0,0,0,0,1359,9811917,0.0033333333333332624,1359,5512247,3.01,614,4200010,99660,99660,10181500,2521502,0
000002.SZ,20260709,6,0,3,939,608140,0,158,7211087,-5994807,6602947,608140,939,0,0,0,0,0,0,0,939,608140,-0.003322259136212554,939,6602947,3.02,781,-5994807,0,0,-5994807,6602947,0
000002.SZ,20260709,7,0,3.01,1474,5352340,0,1138,7748229,3202869,2335489,5412740,1474,0,0,60400,0,0,0,0,1474,5505749,0.0033333333333332624,1474,2242480,3.01,336,3202869,60400,60400,3016851,2335489,0
