category,label,count,ratio
pattern_type,日内套利,42,0.42
pattern_type,对倒拉升,29,0.29
pattern_type,大单吸筹,11,0.11
pattern_type,尾盘突袭,7,0.07
pattern_type,分时脉冲,6,0.06
pattern_type,盘中诱多,4,0.04
pattern_type,连续小单推升,1,0.01
capital_type,量化,71,0.71
capital_type,游资,29,0.29
capital_intention,卖出,63,0.63
capital_intention,买入,37,0.37
